text,label
rt @chochake: dandora love: the return of the legendary ukoo flani mau mau  
west african leaders give firm assurance of meeting the 2020 deadline for introduction of the eco single currency.… 
the rwanda utilities regulatory authority (rura) yesterday suspended a local radio station for 30 days for airing a… 
rt @chochake: photos: the bouncer who killed mowzey radio arrested  
"rt @kollonabiswa: ""mbao mbao...""
finally met this mad mzungu. "
rt @chochake: prayers planned for bed ridden mowzey radio  
"rt @kollonabiswa: jews: are you not jesus' friend?
peter:  

#nasaoathday "
rt @chochake: king kaka partners with anerlisa muigai to keep needy girls in school  
rt @kollonabiswa: have you heard about xiaomi phones?
news indepth - war of paints erupts in ugandan market  
international lender under investigation for role in rwanda genocide  
tanzania is rapidly closing its economic gap with kenya  
"kenya in spirited fight against human trafficking, but hurdles remain  "
"ethiopia says it has managed to make 45,000 of its undocumented citizens return home and gave to another 110,000 ethiopian travel documents."
ethiopia has asked for extension of a 90-day amnesty that will expire wednesday issued by saudi arabia for illegal migrants to return home.
"a cholera outbreak in somalia has killed 795 people since january, a un agency says. 53% of cases reported were children under five years."
"last month, an imf delegation was in zambia to continue discussions on a possible aid program under its extended credit facility."
zambia has dismissed reports that it bribed the head of an imf mission in order to get a bailout package the country was seeking.
rt @lindaunobel: we're happy to meet john adongo from #kenya 🇰🇪 in 24 days here in #lindau  #lino17 @aasciences @hel…
tanzania's ngo's have called on the government to review laws that provide limited access of women to participate in economic activities.
zambian president edgar lungu has said he will not allow the holding of a referendum on the bill of rights due to f… 
south african victims of apartheid met the department of justice to demand reparations for injuries suffered during white minority rule.
"kenya, uganda and rwanda unveil joint tourism portal  "
kenya's president declares biting drought a national disaster  
rwanda to make kiswahili compulsory in schools  
world bank values dar’s real estate sh273bn more than nairobi   
"rwandan lawmakers have passed a law establishing kiswahili as an official language in addition to english, french and local kinyarwanda."
"somalia says preparations for wednesday's presidential polls, which had been postponed four times, are complete. elections take place feb 8."
rt @dannmwangi: united states govt says kenyan citizens are not affected by president trump's directive to suspend entry of some nationals…
somali herders hard hit as drought strikes horn of africa  via @africareview
the gambia president-elect barrow 'to stay in senegal until inauguration'  via @africareview
hospital builds new unit to operate on '500kg' egyptian woman  via @africareview
cote d'ivoire government and rebel troops reach deal  via @africareview
gambia talks fail as president refuses to step down  via @africareview
president obama lifts sanctions on sudan  via @africareview
the tanzanian govt has allocated about $1.3 million for payment to families of people killed or injured by wildlife across the country.
"blind & visually-impaired rwandan voters will be able to cast their votes in 2017 elections using braille ballot papers, the nec has said."
malawi charges ‘tanzanian spies’  via @africareview
"burundi threatens to sue au, pull out troops from somalia  via @africareview"
sudan lawmakers vote to bring back pm post  via @africareview
somali police could soon ‘stand on its own’  via @africareview
"nigeria removes 50,000 'ghost workers' from state payrolls  via @africareview"
burundi passes law cracking down on foreign ngos  via @africareview
un security council rejects arms embargo on south sudan  via @africareview
all-night talks fail to reach dr congo deal  via @africareview
hijacked libyan plane lands in malta: pm  via @africareview
no stopping somali women tourney  via @africareview
gambia crisis: senegal troops 'on alert' if jammeh stays on  via @africareview
at least 40 killed in dr congo anti-kabila protests:  via @africareview
"charles onyango-obbo: this year, i found out i knew very little about africa  via @africareview"
"zuma dismisses critics, says he won't resign  via @africareview"
"in cote d'ivoire haven, 'cursed children' find a blessing  via @africareview"
rt @reutersafrica: #kenya seizes nearly two tonnes of ivory from shipment bound for #cambodia   
"rt @dailymonitor: today: 
1. mutebile, kasaija disagree over printing bank notes
2. mumbere gets tv, fridge in jail
3. army did not sack br…"
kenyan mps amend election laws - daily nation  via @dailynation
gambia's top court adjourns election case until jan 10  via @africareview
africa today at a glance  via @africareview
congo crisis talks as bishops urge deal by christmas  via @africareview
mugabe opens new victoria falls airport  via @africareview
deadlock hits sierra leone’s constitutional review process  via @africareview
museveni orders makerere university closed over strike  via @africareview
morocco protests: death of fish seller triggers rare demonstrations  via @africareview
breaking: anc chief whip urges jacob zuma to quit  via @africareview
south africa''s withdrawal rocks international criminal court  via @africareview
malawi president speaks out over illness rumours  via @africareview
burkina faso foils an attempted coup  via @africareview
south africa 'to withdraw from war crimes court'  via @africareview
"ethiopia 'detains 1,600' under state of emergency  via @africareview"
cote d'ivoire arrests opponents of proposed constitution  via @africareview
ex-south africa public protector under fire over usaid funding  via @africareview
dr congo's bemba found guilty at icc of witness bribing  via @africareview
postponing dr congo poll 'will not solve' crisis  via @africareview
dr congo to push back presidential election to 2018  via @africareview
kenya's acting president claim senator quizzed  via @africareview
dr congo stakeholders should participate in dialogue process ahead of forthcoming election - sa president zuma says.
president zuma urges south sudan rebel leader riek machar to participate in the country's transitional government.
kagame tells france to keep off jet crash probe  via @africareview
ethiopia blames egypt for unrest  via @africareview
gabonese doctor with 'daming report' on poll unrest arrested  via @africareview
ethiopia declares state of emergency amid protests  via @africareview
nigeria bans shiite muslims  via @africareview
france re-opens probe into 1994 assassination of rwandan president  via @africareview
are ethiopian protests a game changer?  via @africareview
kenya tests extent of its african influence with bid for top au job  via @africareview
"troika, igad warn riek machar over fresh fighting  via @africareview"
chinese investors pledge $70 billion to nigeria's oil sector  via @africareview
sudan minister dismisses doctors strike as a flop  via @africareview
sick cameroon soccer legend to be flow to france  via @africareview
ibrahim index ranks zimbabwe high  via @africareview
kenya nominates amina mohamed for au chair job  via @africareview
africa today at a glance  via @africareview
seychelles president james michel steps down after change in law  via @africareview
ali bongo sworn-in as gabon president  via @africareview
mali islamist jailed for shrine attacks  via @africareview
ethiopian actor znah-bzu tsegaye flees country  via @africareview
group condemns niger delta hostilities  via @africareview
africa today at a glance  via @africareview
students shut down south african universities over fee row  via @africareview
dr congo bans opposition rally after two policemen killed  via @africareview
somali general killed by al-shabab suicide car bomber  via @africareview
"zimbabwe vp leaves hotel after incurring $620,000 bill  via @africareview"
onyango-obbo: how to spot impending african election theft — from miles away  via @africareview
opposition chief named zambia finance minister  via @africareview
mo ibrahim report date set  via @africareview
heavily indebted cameroon secures $36m spanish loan  via @africareview
africa today at a glance  via @africareview
"40,000 ugandan teachers not paid for two months  via @africareview"
dr congo warlord on hunger strike at war crimes trial  via @africareview
zambia's lungu sworn-in  via @africareview
zimbabwe police ban protests in harare  via @africareview
"kiir, machar accrue millions as conflict rages in south sudan  via @africareview"
"scare as quelea birds, locusts approach nigeria  via @africareview"
gabon election: justice minister quits over disputed result  via @africareview
new niger delta militant group orders residents to relocate  via @africareview
"rt @the_eastafrican: mutebi: who won, museveni or besigye? the answer is blowing in the wind "
zambia's edgar lungu to be sworn in next week: official  via @africareview
robert mugabe jokes over health rumours  via @africareview
facebook's africa satellite explodes  via @africareview
kenya-rwanda sign east africa trade deal with europe  via @africareview
african elephants census reveals dramatic decline  via @africareview
bongo victory approved by gabon election commission: members  via @africareview
special report: cameroon’s national carrier struggles to remain airborne  via @africareview
mugabe abandons summit amid failing health speculation  via @africareview
nigeria economy slips into recession  via @africareview
five dead in somalia hotel suicide car bomb  via @africareview
big cloud of smoke above mogadishu  via @africareview
gabon presidential election 'lacked transparency': eu observers  via @africareview
mwai kibaki scheduled for surgery on thursday in south africa  via @africareview
south sudan envoy tells off igad after kerry’s remarks on leadership  via @africareview
nigeria arrested for naming dog after president buhari  via @africareview
libya parliament rejects un-backed unity government  via @africareview
ethiopian runner makes protest sign as he crosses line in rio  via @africareview
mali rebel'to admit' timbuktu mausoleum destruction at icc  via @africareview
jean ping wins fresh support in bid to oust gabonese leader bongo  via @africareview
senegalese woman fined after filming police bribe  via @africareview
murmurs as mugabe deputy turns hotel room into a home  via @africareview
special report: rotten chicken throws sierra leone's vendor a lifeline  via @africareview
south sudan conflict: sacked vp riek machar goes into exile  via @africareview
au troops jailed for running fuel racket in somalia  via @africareview
mugabe deputy turns hotel room into a home  via @africareview
zambia election: lungu holds a thanks-giving rally in lusaka  via @africareview
zambia opposition vows to challenge results as lungu declared winner  via @africareview
two south african universities shut over fees  via @africareview
nigeria wants au to declare corruption a crime against humanity  via @africareview
rio 2016: namibian boxer held over alleged sex assault  via @africareview
sudanese rebels agree to au peace proposal  via @africareview
seven dead in troubled east dr congo  via @africareview
ugandan activist matsanga ‘used forged papers to fix icc president’  via @africareview
"dakar set to get new train to move 15,000 passengers daily  via @africareview"
libya unity forces prepare 'decisive' assault in is bastion  via @africareview
opposition seeks partners after south africa poll success  via @africareview
army deployed for sa elections  via @africareview
koffi olominde arrested in kicking saga  via @africareview
rt @nairobi_news: just in! koffi olomide arrested at his home for kicking dancer at jkia  
at least 8 killed in somali twin blasts  via @africareview
why africa must be on the alert for an ebola outbreak  via @africareview
nigeria shelves plans for 'kannywood' film village  via @africareview
riek machar replaced as south sudan vice-president  via @africareview
africa today at a glance  via @africareview
#donaldtrump chief campaigner worked for #kanu in kenya’s darkest moment  
thousands register for mass wedding in nigeria  via @africareview
cnn african journalist award shortlist out  via @africareview
"rt @nairobi_news: baby abshir, boy with a crippling skin disease, to be flown to nairobi  "
africa today at a glance  via @africareview
un seeks end to south sudan violence  via @africareview
uhuru urges south sudan leaders to end war as heavy fighting erupts  via @africareview
gabon's bongo to stand for re-election in august  via @africareview
zambia poll body suspends campaigns  via @africareview
south sudan: heavy gunfire erupts in capital juba  via @africareview
gambian leader announces tough measures against child marriages  via @africareview
breaking: oscar pistorius handed a six year sentence
south african writer lidudumalingani wins caine prize  via @africareview
major traffic snarl-up expected in nairobi as israeli pm visits  via @africareview
un begins verifying refugees in kenya's dadaab camp  via @africareview
africa today at a glance  via @africareview
ethiopia elected to un security council  via @africareview
khartoum and juba ask au to help mark border  via @africareview
africa today at a glance  via @africareview
catholic bishops in dr congo call for elections to be held on time  via @africareview
"sa treasury wants zuma to pay back $500,000  via @africareview"
rt @nairobi_news: kenyan socialite held in ghanaian jail over drug trafficking  
khartoum says troops withdrawn from border with south sudan  via @africareview
roads closed as uganda first lady takes over ministry  via @africareview
zuma to know nkandla bill  via @africareview
madagascar stadium blast kills two  via @africareview
africa today at a glance  via @africareview
libya pm says only united military can defeat is  via @africareview
breaking: big blast rocks mogadishu hotel  via @africareview
rt @nexuske: kenya and ethiopia to begin construction of a joint oil pipeline in december #transformingdiplomacy 
"angola is broke, mr president finally confesses  via @africareview"
zambia opposition protests closure of private newspaper  via @africareview
"in cairo, heat and long days test ramadhan faithful  via @africareview"
equatorial guinea president appoints son vp  via @africareview
africa today at a glance  via @africareview
libya conflict: mystery blast kills dozens in western town  via @africareview
zambia government shuts private newspaper  via @africareview
