text,label,
"state denies six have died of hunger in baringo, says locals got food on monday  ",
"promote private investment for growth, eac heads urged  ",
newborn deaths and still births cause for concern  via @nancyagutu ,0,
"nock to play anchor role in oil and gas sector, says munyes   ",
"don’t allow gay sex, says ag,
in today's star: new bill to raise number of mps -  ,0,
you might want to tap into the boda boda business after reading this >  @safaricomltd… ,0,
"dp ruto and gideon moi bury the hatchet, pledge to work together  ",
kenyans choke up tonnes of e-waste as bill gathers dust  ,0,
quarry worker accidentally blows himself up in embu  ,0,
lamu leaders threaten to sabotage lapsset project  ,0,
sonko distances himself from today's hawkers evictions operation   ,0,
"kibisu kabatesi: nasa cedes space, kenyans lose  ",
"nasa crumbling, mudavadi in denial with plan to punish rebels,
"nasa drops gladys wanga, nominates aisha jumwa  ",
aukot unveils 22 shadow cabinet members 'with no integrity questions'  ,0,
property worth millions lost in kabarnet town fire  ,0,
‘no budget’ for big 4 raises questions how it will work  ,0,
cholera cases still being reported in counties – unicef  ,0,
tough measures in place to curb joyriders and kit mismanagement   ,0,
ex-family bank managers’ sh1.6bn nys suit to proceed  ,0,
consumers to win big if ca adopts competition study findings   ,0,
25 injured in eldoret during riots between hawkers and county askaris  ,0,
"we are concerned about kenya's debt burden, imf tells mps  ",
dj mo speaks about his academy   via @wenzycaren ,0,
no more monkey business as murang’a farmers trap primates  ,0,
"kijiji fire victims moved to temporary homes, get food  ",
"[video] malindi is not a terrorist zone in rundown condition, report misleading – stakeholders… ",
kerio valley schools begin to reopen as the guns fall silent  ,0,
"money, alcohol fueled fight,
sacked meru casuals want jobs restored on permanent terms  ,0,
the street family code: nakuru children run well-oiled machine  ,0,
"jambojet to start flights to rwanda, burundi,
sonko distances himself from today's hawkers evictions operation  ,0,
i won’t pull out of muchai case - magistrate andayi  ,0,
kameme’s kanyira ‘suicidal’ after sack   ,0,
".@adelleo showcases her new lip line to honour her late mother | the star, kenya  ",
okech kendo: ‘dp’ kalonzo can still rebrand   ,0,
scholar asks farmers to use modern technology to stop post-harvest losses  ,0,
state moving 21 jumbos to tsavo park for sh4.5m  ,0,
"fight corruption, terrorism and banditry – godec  ",
trans nzoia to monitor workers’ performance using new system  ,0,
eu gives icipe grant to help farmers fight armyworm  ,0,
kitale court upholds sirisia mp john waluke's election  ,0,
lobby group wants uhuru's cabinet disbanded over two-thirds gender  ,0,
"yes, boba boda business pays very well. here's why >  @safaricomltd #shindamamili ",
"[video] 6,000 medics suffering in 'nasa counties',
"sonko lures dubai investors to nairobi, offers incentives and tax breaks   ",
joho wins as court throws out omar petition for lack of proof  ,0,
tourist numbers soar as sixth cruise ship docks in mombasa  ,0,
"nasa drops gladys wanga, nominates aisha jumwa  via @nancyagutu ",
rt @thestarbreaking: high court dismisses election petition filed by hassan omar against mombasa governor hassan joho. ,0,
"6,000 medics suffering in 'nasa counties',
"rt @thestarbreaking: nasa nominates malindi mp aisha jumwa,,
vihiga senator george khaniri to the parliamentary service commission, drops ho…",
governor wambora out as high court orders fresh election  via @nancyagutu ,0,
cs amina asks uk for more scholarships for kenyans   ,0,
"rt @thestarbreaking: high court nullifies the election of embu governor martin wambora, rules irregularities in the race undermined the ele…",
catholic priest loses bid to reclaim st mary's hospital in lang'ata   ,0,
"nairobi drives hawkers, boda boda riders out of congested cbd  ",
editorial cartoon: #twendekazi priorities...priorities..priorities... oh well via @ndula_victor ,0,
"rt @thestarbreaking: catholic priest in legal tussle with nuns, over ownership of st mary’s mission hospital,
kongowea traders break into tears as kenha flattens stalls  ,0,
red cross appeals for sh1 billion to save drought-hit kenyans  ,0,
"enemies of development sneaked my name for eacc probe, koskei tells mps  ",
new corridor to help tana river locals access water points - dp  ,0,
marwa promises to hasten transfer of county assets and liabilities  ,0,
"rwanda flying high in anti-corruption war, eye on sa and zimbabwe   ",
dpp opposes sheikh guyo gorsa's bail in al shabaab case  ,0,
kenya secures sh203 billion eurobond   via @nancyagutu ,1,
"rt @thestarbreaking: wajir east mp rashid kassim's election upheld by high court, petitioner mohammed abbas ordered to pay sh2 million to t…",
rt @thestarbreaking: kenya red cross appeals for  sh1.04 billion to fight drought that has affected 3.4million kenyans. ,0,
aukot unveils 22 shadow cabinet members 'with no integrity questions'  via @nancyagutu ,0,
"rt @thestarbreaking: thirdway alliance leader ekuru aukot unveils 22 member shadow cabinet, says appointees are people with no integrity qu…",
mps urge uhuru to ban logging and declare it national disaster   ,0,
kihalangwa defends miguna deportation  ,0,
man to hang for killing brother to get back at his stepmother  ,0,
makueni parents spend night in the cold to get birth certificates  ,0,
kenyan urological surgeons treat malindi patients for free without cutting   ,0,
did nasa coalition make a u-turn on their firm stand on snubbing parliamentary committee sittings to vet president… ,0,
"iebc ready for by-elections, says chebukati  ",
"nasa dead, mudavadi in denial with plan to punish rebels,
"wycliffe muga: uhuru going nowhere, here's why  ",
kenya improves in corruption index but remains in red zone   via @nancyagutu ,0,
abduba dida: our leaders are opportunists ready to steal   ,0,
foreign affairs ps nominee promises ‘consequences’ for s sudan disrespect  ,0,
anc sets disciplinary committee to handle rebels  ,0,
twitter bars tactics used by 'bots' to spread fake news   ,0,
jsc nominees’ day with parliament panel  ,0,
miguna to start 10-day us tour to popularise nrm  ,0,
millions starve as food crunch bites yet again  ,0,
"africa waves leaders goodbye, but is the democratic deficit any narrower?  ",
nasa and jubilee fight over psc picks  ,0,
trump endorses guns for teachers to stop shootings  ,0,
lawyers elect new lsk offi cials today  ,0,
"nigeria rescues 76 schoolgirls after boko haram attack, others missing   ",
no money was lost in afya house - mailu  ,0,
wakhungu denies she was demoted  ,0,
in today's star: millions starve as food crunch bites yet again -  ,0,
urgent solutions needed as kenya records alarming newborn mortality rate  via @nancyagutu ,0,
bill gates speaks about trade and donor money in africa’s healthcare  via @jomunji ,0,
"worst air disasters in kenya’s history, and how survivors cope  ",
louis otieno needs help after going deaf  ,0,
find out how the boda boda business is quickly changing lives in kenya >  @safaricomltd… ,0,
"mombasa to clean up old town, upgrade neglected tourist sites  ",
uhuru and museveni to open busia one-stop border post  ,0,
embu to build plants to add value to fruits and grains  ,0,
[video] group moving to court to stop mega projects on lamu island  ,0,
"mbogo, bedzimba clash over unpaid school power bill  ",
residents fear landfill will pollute their water  via @alicewangechi ,0,
"kenya to be a world mining destination, cs munyes pledges  ",
jason derulo to sing world cup anthem  @jasonderulo ,0,
mvurya want locals to record statement over ranch sale  via @charisuche1 ,0,
"wikithuki irrigation scheme fails, mp pledges to revive it  via @nzengumj ",
k24’s ian wafula ‘depressed’ after losing car to conmen  ,0,
lamu's main mode of transport  ,0,
low-carb diets no better than low-fat for losing weight - study  ,0,
mp fred kapondi denies sldf regrouping in mt elgon  ,0,
daudi mwenda: absolute power corrupts  ,0,
mudavadi backers are ‘hypocrites’ - washiali  ,0,
