text,label,,,,,
rt @bbgafrica: anglogold to revive ghana mine that battled illegal miners ,0,,,,,
rt @bbgafrica: uganda holds its first coffee auction in bid to promote quality ,0,,,,,
rt @bbgafrica: is the party over for the rand?  ,0,,,,,
rt @bbgafrica: robert mugabe's biggest foe laid to rest in his home village ,0,,,,,
#ghana says received keen asian interest in its sovereign debt ,0,,,,,
congo seeks relief talks with oil traders over $2 bln debt ,-1,,,,,
south africa has till 2019 elections to cash-in on global windfall: citi ,0,,,,,
"@arsenal_tickets i am on the hunt for a single away at brighton,,,0,,,
rt @bbgafrica: finance ministry says order book in excess of $11.5 billion for nigeria bonds ,1,,,,,
rt @bbgafrica: africa's richest man said to revive dangote cement ipo ,0,,,,,
rt @bbgafrica: zuma budget hole leaves south africa with tough tax choices  ,0,,,,,
"rt @bbgafrica: zimbabwe plans gold,,0,,,,
"rt @bbgafrica: imf deadlock makes zambia’s bonds the worst in emerging markets,,,,,,
",0,,,,,
uber suspends service in #morocco after two years ,-1,,,,,
"banks chosen to manage new ivory coast eurobond issue,,0,,,,
"moody's affirms ,,,,,,
#ghana's b3 rating,,0,,,,
african startups bet on blockchain to tackle land fraud ,0,,,,,
hungary to invest $172 mln in angolan economy ,1,,,,,
"#angola appoints goldman,,,1,,,
#zambia to rearrange #china loans to meet imf conditions ,0,,,,,
#egypt aims to sell eurobonds worth $3-$4 bln in fy18/19 - deputy finance minister to al arabiya ,1,,,,,
new south african leadership credit positive for gold miners: moody's ,0,,,,,
"rt @reutersafrica: obituary: morgan tsvangirai,,0,,,,
"rt @reutersafrica: zuma quits,,0,,,,
rt @reutersafrica: south african rand hovers near 3-yr highs after #zuma quits ,0,,,,,
"rt @reutersafrica: #kenya,,,0,,,
rt @reutersafrica: s&p sticks with #kenya stance after moody's downgrade ,0,,,,,
rt @reutersafrica: #ethiopia's pm offers resignation to help reforms after mass unrest ,0,,,,,
"rt @reutersafrica: #ramaphosa elected president of #southafrica,,0,,,,
rt @reutersafrica: nigerian stocks drop to one month low  ,-1,,,,,
rt @bbgafrica: africa’s fastest-growing economy is even bigger than it seems ,0,,,,,
rt @bbgafrica: south africa's anc is said to order president zuma to quit ,0,,,,,
#zimbabwe negotiating $1.5 billion guarantee with afreximbank - ,0,,,,,
#ghana's mobile money transactions double to $35 billion  via @technology,1,,,,,
ivory coast plans $1.2 billion sale of eurobonds  via @business,0,,,,,
rt @bbgafrica: mtn to plan $500 million nigeria share sale in 2018 ,0,,,,,
rt @ftmideastafrica: zuma’s exit appears closer as he meets rival ,0,,,,,
rt @ftmideastafrica: kenya’s top judge rebukes government over escalating crackdown ,0,,,,,
rt @reutersafrica: #southafrica's ramaphosa says in direct discussions with zuma over transition  ,0,,,,,
rt @reutersafrica: lagos art lovers get chance to bid for long-lost masterpiece found in london  ,0,,,,,
"rt @wsjafrica: when completed,,0,,,,
rt @wsjafrica: the end is near for jacob zuma’s presidency ,0,,,,,
president trump sent a letter to african leaders telling them secretary of state rex tillerson will visit the conti… ,0,,,,,
"rt @bbgafrica: nigeria may cut interest rates in first half of this year - emefiele,,,,,,
",0,,,,,
"rt @ftmideastafrica: hugh masekela,,,0,,,
#kenya to hold eurobond roadshow in mid-february ,0,,,,,
#ghana's 91-day bill yield rises to 13.35 percent ,1,,,,,
imf's lagarde welcomes mnangagwa's promise to revive #zimbabwe economy ,0,,,,,
#nigeria eyes $2.5 bln eurobond sale in q1 to refinance local debt ,1,,,,,
#kenya's nakumatt supermarkets goes into administration ,0,,,,,
"#egypt's economic growth seen at 4.2 percent,,-1,,,,
"rt @bbgafrica: nigerian central bank,,,-1,,,
rt @bbgafrica: south african stocks are more popular than ever before ,1,,,,,
"rt @bbgafrica: #nigeria political deadlock threatens economic rebound,,,,,,
