text,label,,,
"kncci,,1,,
"enjoy,,,,
,,,,
1. free minor servicing at all shell stations countrywide,,,,
2. discounts on car lubricants.  ,,,,
3. monthly plans… ",0,,,
why larry madowo borrowed a shirt for bbc interview anchor was sought out by briti ,0,,,
britam pre-tax profit dips 80% due to 2016 revaluation britam changed its valuation m ,1,,,
"you can now pay all your bills via safaricom platinum. ,,,,
,,,,
upgrade/download mysafaricom app>  ,,,,
,,,,
#wefocusonyou",0,,,
rare win for gay rights as court rules forced anal tests illegal the landmark case was brought ,0,,,
stanchart gross profit drops 24.2% to sh10.1b ceo lamin manjang says the dip ,-1,,,
‘moral policeman’ ezekiel mutua lands in hot soup hamburg media school holds dec ,0,,,
"safaricom platinum offers cheaper plans on data,,1,,
"safaricom platinum provides you with an effortless mobile plan,,1,,
"safaricom platinum service is accessible in mysafaricom app>,,,,
,,,,
#wefocusonyou",0,,,
heart-rending photo of ailing njambi koikai moves kenyans former qfm host says she has b ,0,,,
uhuru misadvised? uproar over plan to vet warsame lawyers say vetting of justice ,0,,,
nys to provide sh50 psv services in nairobi routes that will benefit in th ,1,,,
royal media top editor quits it is not yet clear where nixo ,0,,,
new report shows how media covers water stories reelforge survey shows water s ,0,,,
kenya welcomes sh101b renewable energy facility energy ps joseph njoroge says ,1,,,
kcb to fly two lucky customers to watch fifa world cup the campaign which ends on apr ,1,,,
what are challenges facing africa’s “historic” open borders deal? experts says fast tracking the ,0,,,
police say conman has ‘special ties’ with sabina chege director of criminal investig ,0,,,
41% of kenyans depend on raw water sources shortage means that a large po ,1,,,
wangusi defies uhuru order to surrender sh1b to police he says there is no money to d ,0,,,
nic group records 9.2% drop in pre-tax profit lender reports a gross profit ,-1,,,
equity bank net profit up 14% to sh18.9b performance defies challenging ,-1,,,
"john-allan namu linked to cambridge analytica in a series of tweets,,0,,
"john-allan namu denies cambridge analytica ties in a series of tweets,,0,,
citizen tv’s patrick igunza debuts on new radio show patrick igunza will be co-host ,0,,,
"another handshake: raila,,0,,
african leaders sign pact to open borders for traders more than 40 nations signed th ,0,,,
"matiang’i backs waititu,,0,,
6 types of people you are likely to find at the workplace when people with different per ,0,,,
4 crucial factors to consider before choosing insurance policy market reputation of a provide ,0,,,
heart-rending photo of ailing njambi koikai moves kenyans former qfm host says she has b ,0,,,
the pretty ladies taking the battle to matatu goons clad in phenomenal white and r ,0,,,
kenya airways records sh6.1bn 9-month loss the national carrier says it s ,-1,,,
female graduates change the tide of matatu chaos clad in phenomenal white and r ,0,,,
"safaricom platinum service is accessible in mysafaricom app>,,,,
,,,,
#wefocusonyou ",0,,,
female graduates change the tide of matatu chaos clad in phenomenal red dresses ,0,,,
uk seeks to seize cambridge analytica servers facebook also says it has hire ,0,,,
"safaricom platinum provides you with an effortless mobile plan,,1,,
"popular musician perishes in road accident the musician,,0,,
knight frank to manage garden city the contract brings the number ,0,,,
bamburi partners with kenha to repair stoney athi bridge the company has provided concr ,0,,,
"nasa senators vote to kick out wetang’ula at least 19 senators,,0,,
cambridge analytica confirms role in kenya elections in a undercover film broadcast ,0,,,
tilisi invests sh64m to check floods in limuru project the company is further landsca ,1,,,
"safaricom platinum offers cheaper plans on data,,1,,
sad! mercy killing for sudan after condition worsens the rhino had been part of an ,0,,,
larry madowo left out in latest changes at ntv the changes come three weeks a ,0,,,
keroche owner’s daughter implicates ktn’s linda ogutu’s boyfriend in sh19m ‘fraud’ annerlisa muigai also denies c ,0,,,
this generation of kenyans may not retire they put on a flamboyant façad ,0,,,
this generation of kenyans may not retire illennials – generally defined ,0,,,
"i was conned,,0,,
nse’s 2017 net profit up 18% bourse says it realised growth ,1,,,
"university student turns hobby into business moses lutomia,,0,,
nairobi’s most stubborn hawker unfazed by loss of three teeth city council askaris shoved ra ,0,,,
"cbr reduced to 9.5% paving way for cheaper loans however,,1,,
bar owners back crackdown on illicit brews pubs and restaurants associati ,0,,,
"meet varsity student who makes money with photography passion moses lutomia,,0,,
"safaricom platinum provides you with an effortless mobile plan,,1,,
firm launches bid to tame music piracy digispice's content management ,0,,,
uproar over disconnection of remba island power supplier it has since emerged that the ,0,,,
citizen tv news anchor tops nairobi deputy governor poll responding to suggestions by c ,0,,,
citizen’s new anchor tops race for nairobi deputy governor responding to suggestions by c ,0,,,
"safaricom platinum offers cheaper plans on data,,1,,
life adjustments and the pain of losing a job it took me time to accept the ,0,,,
"barclays unveils visa signature card in kenya among the many benefits,,1,,
national bank opens new branches in nandi hills and kitale lender says move attests to th ,1,,,
"logging ban pushes charcoal prices to sh2,,-1,,
"logging ban pushes charcoal prices hit sh2,,-1,,
"you can now pay all your bills via safaricom platinum. ,,,,
,,,,
upgrade/download mysafaricom app>  ,,,,
,,,,
#wefocusonyou",0,,,
anne kiguta tops sonko’s deputy nominees list responding to suggestions by c ,0,,,
anne kiguta tops sonko’s deputy nominees responding to suggestions by c ,0,,,
"enjoy,,,,
,,,,
1. free minor servicing at all shell stations countrywide,,,,
2. discounts on car lubricants.  ,,,,
3. monthly plans… ",0,,,
jeff koinange isn’t as smart as he’d like you to believe veteran journalist under fire ,0,,,
port cargo up 300% as sgr cut freight costs nairobi based inland container ,0,,,
barclays takes on m-shwari with timiza launch lender wants to attract at lea ,-1,,,
jeff koinange isn’t as smart as he’d like you to believe veteran journalist under fire ,1,,,
key issues that determine a kenyan’s citizenship children of kenyan citizenship ,0,,,
