text,label,,,,,,
"should african countries join the crypto revolution after venezuela sets the pace with the petro?,,,,,,,
",0,,,,,,
"nigeria could be a key brexit ally,,,,,,,
",0,,,,,,
"selina wamucii - the kenyan platform empowering smallholder farmers through mobile technology.,,,,,,,
",0,,,,,,
"@lbsnigeria and @fordfoundation are on a mission to train africa's next generation of young leaders.,,,,,,,
",0,,,,,,
"kenya's economy gets a significant boost after the prolonged elections.,,,,,,,
",0,,,,,,
"@who advocates for less unnecessary medical interventions during childbirth.,,,,,,,
,,,,,,,
 ",0,,,,,,
"nigeria could be a key brexit ally,,,,,,,
,,,,,,,
",0,,,,,,
"should african countries join the crypto revolution now that venezuela has set the pace with the petro?,,,,,,,
",0,,,,,,
"over 200 boko haram suspects convicted mass trials.,,,,,,,
",0,,,,,,
"@brookingsinst 2018 foresight report points the way for african integration in 2018.,,,,,,,
",0,,,,,,
"weekly economic index: nigeria's foreign reserve continues to rise,,,,,,,
",0,,,,,,
"lagos state to inaugurate first-ever tourism calendar.,,,,,,,
",0,,,,,,
"over 200 boko haram suspects convicted in mass trials.,,,,,,,
",0,,,,,,
"why private sector investments could be the only solution to the ongoing fuel scarcity.,,,,,,,
",0,,,,,,
"@who advocates for less unnecessary medical interventions during childbirth.,,,,,,,
",0,,,,,,
"weekly economic index: foreign reserve continues to rise,,,,,,,
",0,,,,,,
"honoris united universities adds two leading institutions to its pan-african network.,,,,,,,
",0,,,,,,
"uber on the path to profitability despite recording a historical scale in losses.,,,,,,,
",0,,,,,,
"@brookingsinst 2018 foresight report points the way for african integration in 2018.,,,,,,,
",0,,,,,,
"nana twum-danso is connecting rural ghana with prompt medical attention,,,,,,,
",0,,,,,,
"@brookingsinst 2018 foresight report points the way for african integration in 2018.,,,,,,,
",0,,,,,,
"@uber on the path of profitability despite recording a historical scale in losses.,,,,,,,
",0,,,,,,
"nana twum-danso is connecting rural ghana with prompt medical attention,,,,,,,
",0,,,,,,
"south africa welcomes a new president in the person of cyril ramaphosa.,,,,,,,
",0,,,,,,
"black panther is just what it is - a marvel superhero movie and a purely capitalist venture.,,,,,,,
",0,,,,,,
"construction starts on cameroon's first destination retail mall.,,,,,,,
",0,,,,,,
"the naira is one of the three african currencies recently added by uk export finance.,,,,,,,
",0,,,,,,
"what you need to know about the report on nigerian sustainable banking principles.,,,,,,,
",0,,,,,,
"honoris united universities adds two leading institutions to its pan-african network.,,,,,,,
",0,,,,,,
"if we are truly winning the war against boko haram,,,,,,,
,,,,,,,
",0,,,,,,
"the naira is now one of the three african currencies recently added by uk export finance.,,,,,,,
",0,,,,,,
"construction starts on cameroon's first destination retail mall.,,,,,,,
",0,,,,,,
"highlights from the nigerian women bobsledders visit to nigeria.,,,,,,,
",0,,,,,,
"alassane ouattara,,,,,,,
",0,,,,,,
"what you need to know about the report on nigerian sustainable banking principles.,,,,,,,
",0,,,,,,
"ellen johnson sirleaf is the female laureate of the mo ibrahim prize for achievement in african leadership.,,,,,,,
",0,,,,,,
