text,label,,,,,,,,
rt @auc_moussafaki: we share the joy of the families reunited with 105 of the 110 girls #dapchigirls who returned home and reaffirm our sup…,0,,,,,,,,
communiqué on #rwanda's contribution to the #g5sahel joint force  @g5sahel ,0,,,,,,,,
"rt @auc_moussafaki: incredibly proud of our union as 44 out of 55 member states signed the #afcfta,,0,,,,,,,
rt @auc_moussafaki: i wish to thank pres @paulkagame for #rwanda's generous 1million us dollar contribution in support of the #g5sahel join…,1,,,,,,,,
list of african countries that signed the establishment of the  african continental free trade area #afcfta at the… ,0,,,,,,,,
follow the final press conference of the 10th extraordinary summit on the african continental free trade area… ,0,,,,,,,,
statements by the chairpersons of the regional economic communities #recs followed by statements by heads of state… ,0,,,,,,,,
"#afcfta @_africanunion member states signing outcomes: 44 signed #afcfta,,,0,,,,,,
rt @auc_moussafaki: signing intentions by member states go way  beyond our expectations. extremely proud that  more than 40 are now expecte…,0,,,,,,,,
"statement of the chairperson of the african union commission,,0,,,,,,,
opening address by president @paulkagame at the 10th extraordinary summit of the african union on #afcfta #rwanda @ ,0,,,,,,,,
.@_africanunion heads of state and government signing the continental free trade area #afcfta legal instruments in… ,0,,,,,,,,
"signing: (1) agreement establishing the #afcfta,,0,,,,,,,
follow the opening session of the 10th extraordinary session of the  assembly of the @_africanunion on the african… ,0,,,,,,,,
rt @auc_moussafaki: it is now time to create a real engine for true prosperity after 55years of political union. trade assures the wealth o…,0,,,,,,,,
"#afcfta ""in summary: raise our ambition. ratify. reform. the africa we want is clearly visible on the horizon. and… ",0,,,,,,,,
"#afcfta ""third,,0,,,,,,,
"#afcfta ""second,,0,,,,,,,
"#afcfta ""first,,0,,,,,,,
"#afcfta ""the creation of one african market necessarily entails a metamorphosis  in how we think and act. the full… ",0,,,,,,,,
"follow #afcfta business forum on (1) leveraging the power of business to drive africa’s integration (2) jobs,,0,,,,,,,
afrochampions initiative will work side by side with the african union to promote the african continental free trad… ,0,,,,,,,,
african union condemns the violence ahead of second round presidential election in #sierraleone @ ,0,,,,,,,,
"keynote address by president paul kagame @paulkagame,,,0,,,,,,
all sessions of the business forum on leveraging the power of business to drive africa’s integration #rwanda… ,0,,,,,,,,
"please follow the #afcfta business forum: ""leveraging the power of business to drive africa’s integration"" #rwanda… ",0,,,,,,,,
note to editors: questions and answers on the african continental free trade area #afcfta #afcfta2018 #rwanda @ ,0,,,,,,,,
note to editors: @_africanunion will enhance free movement and single air transport market #oneafricansky during th… ,0,,,,,,,,
note to editors: the african continental free trade area #afcfta protocol is a means towards building the “africa w… ,0,,,,,,,,
#afcfta: @_africanunion commission chairperson @auc_moussafaki calls on member states to promote the image of a uni… ,0,,,,,,,,
statement by the chair of the executive council h.e. louise mushikiwabo @lmushikiwabo #rwanda delivered at the open… ,0,,,,,,,,
"statement of the african union commission chairperson,,0,,,,,,,
"""we are embarking on negotiations on protocols on competition,,0,,,,,,,
"""it is just common sense for us to look at the opportunities closer to home,,0,,,,,,,
"#afcfta will act as a catalyst to deepen #africa economic integration,,,0,,,,,,
"#afcfta realising #agenda2063 aspiration for a continental market with free movement of persons,,,0,,,,,,
#afcfta delivering on #agenda2063 commitment to boost intra-african trade,0,,,,,,,,
#afcfta should help build bridges and strengthen economic relationships between #africa countries and deliver on th… ,0,,,,,,,,
#afcfta will provide african private sector with opportunities to create jobs #rwanda,0,,,,,,,,
rt @auc_moussafaki: african heads of states expected to arrive in #kigali to launch the historic continental free trade area on 21 march 20…,0,,,,,,,,
follow the opening session of the 18th executive council meeting of the extraordinary summit on african continental… ,0,,,,,,,,
rt @au_kwesiquartey: analyses of impact of #afcfta at household level suggest effect btn male & female headed households is broadly quite b…,0,,,,,,,,
"rt @au_kwesiquartey: smes can benefit from #afcfta making it easier to supply inputs to larger regional companies,,,0,,,,,,
rt @au_kwesiquartey: smes are key to growth. they account for 80% of region’s businesses.smes mostly struggle to penetrate advanced oversea…,0,,,,,,,,
"rt @au_kwesiquartey: #afcfta will produce jobs for bulging youth population as extractive exports,,0,,,,,,,
"rt @au_kwesiquartey: consolidating africa in one trade area provides great opportunities for trading enterprises,,0,,,,,,,
"rt @au_kwesiquartey: with average tariffs of 6.1%,,1,,,,,,,
#afcfta: @_africanunion commission deputy chairperson thomas kwesi quartey @au_kwesiquartey says the summit on this… ,0,,,,,,,,
"watch live discussions on the african continental free trade area #afcfta with  amb. albert muchanga,,0,,,,,,,
note to editors: 10th extraordinary session of the assembly of the @_africanunion on the african continental free t… ,0,,,,,,,,
african continental free trade area #afcfta gathers strong impetus to boost economic growth #afcfta2018 #rwanda @… ,0,,,,,,,,
"statement by h.e. hope tumukunde gasatura @htgasatura,,0,,,,,,,
statement by @auc_moussafaki chairperson of the @_africanunion commission at the meeting of the permanent represent… ,0,,,,,,,,
opening of the permanent representatives committee session of the 18th extraordinary summit of the african continen… ,0,,,,,,,,
communiqué on the participation of the chairperson of the african union commission @auc_moussafaki in the extraordi… ,0,,,,,,,,
communiqué sur la participation du président de la commission de l'union africaine @auc_moussafaki au sommet extrao… ,0,,,,,,,,
.@_africanunion commission and the government of #rwanda sign a host  agreement in preparation of the extraordinary… ,0,,,,,,,,
".@_africanunion congratulates the people of sierra leone for peaceful,,0,,,,,,,
communiqué on the working visit of the chairperson of the african union commission @auc_moussafaki to #algeria @ ,0,,,,,,,,
communiqué sur la visite de travail du président de la commission de l'union africaine @auc_moussafaki en #algérie.… ,0,,,,,,,,
"rt @auc_moussafaki: #agenda2063 in action at the pan african university institute of water and energy sciences in tlemcen,,0,,,,,,,
"rt @auc_moussafaki: la déclaration annonçant mon arrivée en #algérie pour une visite de travail.,,,,,,,,,
",0,,,,,,,,
"rt @auc_moussafaki: 2/2:accompanied by my delegation that includes commissioner @au_chergui,,,0,,,,,,
rt @auc_moussafaki: 1/2:i  arrived in algiers for a working visit where i was welcomed by foreign minister abdelkader messahel. i will hold…,0,,,,,,,,
visite de travail du président de la commission de l'union africaine @auc_moussafaki en algérie… ,0,,,,,,,,
working visit of the chairperson of the african union commission @auc_moussafaki in algeria  ,0,,,,,,,,
rt @auc_moussafaki: 2/2:i applaud the leadership shown by pres #kenyatta + mr #odinga. their statement is a very encouraging step towards n…,0,,,,,,,,
"rt @auc_moussafaki: 1/2: i welcome the statement issued today by president #uhuru kenyatta and mr raila #odinga,,0,,,,,,,
the chairperson of the african union commission @auc_moussafaki welcomes the joint statement issued today by presid… ,0,,,,,,,,
"communiqué conjoint sur la rencontre entre moussa faki mahamat @auc_moussafaki,,0,,,,,,,
"joint communique on the meeting between moussa faki mahamat @auc_moussafaki,,0,,,,,,,
follow the visit to the african union commission by the minister of foreign affairs of the russian federation live… ,0,,,,,,,,
joint communiqué: high level meeting between auc chairperson @auc_moussafaki and u.s. secretary of state @… ,0,,,,,,,,
communiqué on the meeting between the chairperson of the african union commission @auc_moussafaki and the minister… ,0,,,,,,,,
"message du président de la commission de l'union africaine,,,0,,,,,,
"rt @auc_moussafaki: today,,,,0,,,,,
"rt @auc_moussafaki: fruitful discussions with us secretary of state tillerson focussed on peace&security,,0,,,,,,,
"rt @auc_moussafaki: ce 8 mars je renouvelle mon appel pour des actions concrètes,,0,,,,,,,
"watch the joint press conference by the u.s. secretary of state,,0,,,,,,,
learn more about the 7 march 2018 general elections in the republic of #sierraleone @ ,0,,,,,,,,
rt @auc_moussafaki: my sincere condolences to the victims and their loved ones from today's attack in #ouagadougou. a stark reminder of the…,0,,,,,,,,
rt @auc_moussafaki: today marks the 122nd anniversary of the #adwa victory - a source of pride for ethiopians and the entire continent. thi…,0,,,,,,,,
rt @auc_moussafaki: delighted to see my sister @srsg_monusco in addis abeba today. she briefed me on her consultations with stakeholders in…,0,,,,,,,,
"rt @auc_moussafaki: in my meeting with @un_pga  today,,,0,,,,,,
"rt @auc_moussafaki: the kidnap of the #dapchigirls on their way to school,,,0,,,,,,
rt @auc_moussafaki: today's international high-level conference on the #sahel in #brussels pledged a total of 414 million euros.  it is my…,1,,,,,,,,
rt @auc_moussafaki: met with hrvp @federicamog this morning ahead of tomorrow's international high-level conference on the #sahel where we…,0,,,,,,,,
rt @auc_moussafaki: 2/2: the #sahelconference will focus on strengthening much-needed international support to the #sahel countries(burkina…,0,,,,,,,,
"rt @auc_moussafaki: 1/2 :fruitful discussions with @junckereu,,0,,,,,,,
communiqué on the visit of the chairperson of the african union commission @auc_moussafaki to #zimbabwe @ ,0,,,,,,,,
communiqué on the meeting between the prime minister of #ethiopia and the chairperson of the african union commissi… ,0,,,,,,,,
"rt @auc_moussafaki: mon entretien avec le premier ministre éthiopien ce jour,,,,,,,,,
 ",0,,,,,,,,
rt @auc_moussafaki: read the full statement of my meeting with outgoing ethiopian prime minister #hailemariamdesalegn today in addis abeba:…,0,,,,,,,,
rt @auc_moussafaki: 2/2: pm #hailemariamdesalegn and i also exchanged views on the situation in #southsudan and #somalia. we will continue…,0,,,,,,,,
rt @auc_moussafaki: 1/2: i met outgoing pm #hailenariamdesalegn today in addis abeba today who reassured me of the steps the ethiopian govt…,0,,,,,,,,
african delegates & advocates will present the africa common position on the 2018 themes to positively influence &… ,0,,,,,,,,
"the africa pre-csw62 ministerial consultation kicks off today at  @_africanunion. african ministers,,,,0,,,,,
statement of the chairperson of the commission of the african union  @auc_moussafaki on the situation in #ethiopia @ ,0,,,,,,,,
rt @auc_moussafaki: delighted to sign an agreement today in harare that confirms the african capacity building foundation as a specialised…,0,,,,,,,,
rt @auc_moussafaki: in #harare for my first visit following the peaceful transition of power. #zimbabwe is indeed open for business! met wi…,0,,,,,,,,
"rt @urugwirovillage: president kagame meets with moussa faki,,0,,,,,,,
rt @auc_moussafaki: a would-be suicide bomber was caught. she said she wanted to die to go to paradise where she would be able to choose he…,0,,,,,,,,
"rt @auc_moussafaki: no matter the commitment,,,0,,,,,,
"rt @auc_moussafaki: excited to be speaking on panel on securing the sahel  alongside world bank president @jimyongkim,,0,,,,,,,
rt @auc_moussafaki: my most sincere congratulations to president @cyrilramaphosa and all south africans as the country moves into a new cha…,0,,,,,,,,
rt @auc_moussafaki: the @_africanunion's partnership with #china soon to be reinforced thru the establishment of a new office in #beijing t…,0,,,,,,,,
"call for articles: au echo 2018 ""winning the fight against corruption: a sustainable path to africa’s transformatio… ",0,,,,,,,,
communiqué on the visit of the african union commission chairperson @auc_moussafaki to the people's republic of… ,0,,,,,,,,
rt @auc_moussafaki: warm welcome in beijing this evening by the africa group of ambassadors led by @rwandainchina ambassador charles kayong…,0,,,,,,,,
statement of the chairperson of the commission @auc_moussafaki on the situation in #kenya @ ,0,,,,,,,,
rt @paulkagame: to the many leaders and citizens of our continent who sent congratulatory messages  but above all gave me your trust to lea…,0,,,,,,,,
"rt @ebbakalondo: pres @paulkagame,,0,,,,,,,
rt @ebbakalondo: .@_africanunion chairperson @auc_moussafaki amongst #newafrican mag's list of the 100 most  influential africans for 2017.…,0,,,,,,,,
the chairperson of the @_africanunion commission @auc_moussafaki inaugurates the continental veterinary vaccine ban… ,0,,,,,,,,
(9/9) 90% de la viande consommée en afrique is likely to have been treated with vaccines tested by #panvac… ,0,,,,,,,,
(8/9) #panvac is recognized as a reference centre for vaccin quality control by fao and world animal health organis… ,0,,,,,,,,
(7/9) #panvac is the only centre in the world authorized to hold in the same facility rinderpest wild strain & vacc… ,0,,,,,,,,
,0,,,,,,,,
(5/9) in 2017 #panvac tested more than 1 billion vaccines. it has also developed diagnostic tests & kits for survei… ,0,,,,,,,,
(4/9) #rinderpest is one the most devastating animal diseases and was eradicated in 2011. @_africanunion made a tre… ,0,,,,,,,,
(3/9) #panvac is mandated to provide international independent quality control for all veterinary vaccines produced… ,0,,,,,,,,
"(2/9) @auc_moussafaki also unveiled the memorial for rinderpest eradication. ,,,,,,,,,
----,,,,,,,,,
@auc_moussafaki a aussi dévoilé… ",0,,,,,,,,
(1/9) the auc chairperson @auc_moussafaki visited today the pan-african veterinary vaccine centre #panvac in debre… ,0,,,,,,,,
find more information relating to the #30thausummit @  ,0,,,,,,,,
#30thausummit @_africanunion kwame nkrumah scientific excellence awards #auknase 2017 edition.… ,0,,,,,,,,
"#30thausummit interview on the theme of the year 2018 addressed to hon bégoto miarom,,0,,,,,,,
#30thausummit the 30th ordinary session of the @_africanunion assembly concludes with remarkable decisions on three… ,0,,,,,,,,
"#30thausummit inaugural meeting of the committee of ten heads of state and government champions for education,,0,,,,,,,
africa opens its skies as @_africanunion gathers leaders for summit #saatm #30thausummit read more at ,0,,,,,,,,
#30thausummit tenth (10th) @_africanunion gender pre-summit calls on african women to join in the fight against cor… ,0,,,,,,,,
"#30thausummit president paul kagame,,0,,,,,,,
"#30thausummit @_africanunion,,0,,,,,,,
.@_africanunion commission and #oecd development centre call for tapping  immigrants’ contribution to africa’s econ… ,0,,,,,,,,
#30thausummit .@_africanunion launches africa agriculture transformation scorecard #aats – a  revolutionary new too… ,0,,,,,,,,
.@_africanunion open-ended committee of ministers of foreign affairs on the  international criminal court convened… ,0,,,,,,,,
"rt @ebbakalondo: .@paulkagame:""reforms need a change of mindsets,,,,,,,,,
#aureforms #…",0,,,,,,,,
"rt @ebbakalondo: .@auc_moussafaki: ""the situation in #southsudan is unacceptable,,0,,,,,,,
follow the closing ceremony of the #30thausummit live now @ ,0,,,,,,,,
rt @ebbakalondo: follow the #30thausummit press conference following the closing ceremony and listen to @_africanunion chairperson @auc_mou…,0,,,,,,,,
"rt @ebbakalondo: follow the closing ceremony of the #30thausummit this shortly to be livestreamed on the following link: ,,,,,,,,,
",0,,,,,,,,
#30thausummit closing ceremony soon live @ ,0,,,,,,,,
"#30thausummit press briefing: h.e. prof victor harison,,0,,,,,,,
"#30thausummit press briefing: h.e. amb. smail chergui,,0,,,,,,,
watch #30thausummit press briefing: auc commissioner for trade and industry to brief media on auc afro champions in… ,0,,,,,,,,
"watch #30thausummit press briefing: h.e prof. sarah anyang agbor,,,0,,,,,,
#30thausummit acceptance remarks by president @paulkagame or #rwanda at the opening ceremony of the 30th… ,0,,,,,,,,
#30thausummit @un secretary-general @antonioguterres address to the opening ceremony of the 30th ordinary session o… ,0,,,,,,,,
rt @auc_moussafaki: pres @paulkagame makes his inaugural speech in front of his peers as the new president of our union for the next year.…,0,,,,,,,,
#30thausummit “winning the fight against corruption: a sustainable path to africa’s transformation”  presentation b… ,0,,,,,,,,
"acceptance statement by h.e. @paulkagame,,0,,,,,,,
"rt @auc_moussafaki: au #burundi,,,,,,,,,
#30thausummit",0,,,,,,,,
"#30thausummit opening statement by h.e. mr. alpha condé,,0,,,,,,,
rt @auc_moussafaki: #southsudan: we can no longer stand by at the indescribable cruelty of the violence that belligerents continue to infli…,0,,,,,,,,
group photo of the #30thausummit. find more photos on flickr @  ,0,,,,,,,,
"now addressing the #30thausummit h.e. mr. mahmoud abbas,,0,,,,,,,
"h.e. ahmed aboul-gheit,,0,,,,,,,
"now addressing the #30thausummit h.e. antonio guterres,,,0,,,,,,
"watch @auc_moussafaki,,,0,,,,,,
rt @_africanunion: #30thausummit watch the opening ceremony of the thirtieth (30th) ordinary session of the assembly of the union live @ ht…,0,,,,,,,,
#30thausummit watch the opening ceremony of the thirtieth (30th) ordinary session of the assembly of the union live… ,0,,,,,,,,
#30thausummit will likely deal with 3 key issues: implementing au reforms  electing the 10 members of the au peace… ,0,,,,,,,,
the report of the high level panel on illicit financial flows from africa shows that corruption accompanied by the… ,0,,,,,,,,
"#corruption affects people’s daily lives,,,,0,,,,,
"rt @au_kwesiquartey: #aprm has unique value as africa’s own home-grown governance mechanism. when we have democratic governance,,0,,,,,,,
rt @au_kwesiquartey: addressing heads of state & govt participating in african peer review mechanism @aprmorg on behalf of chairperson @auc…,0,,,,,,,,
decision on financing the @_africanunion  aims to provide an equitable and predictable source of financing for the… ,0,,,,,,,,
high moments of the official opening of the #30thausummit will include the election of the new bureau of the assemb… ,0,,,,,,,,
"rt @auc_moussafaki: the growing terrorism threat in africa is a shared responsibility,,0,,,,,,,
rt @auc_moussafaki: i addressed the heads of state present at today's @nepad_agency high-level orientation committee led by pres @macky_sal…,0,,,,,,,,
rt @auc_moussafaki: met with president @paulkagame ahead of his accession as president of the union when president alpha conde's one-year m…,0,,,,,,,,
#30thausummit  opening session of the 36th session of the nepad heads of state and government orientation committee… ,0,,,,,,,,
"rt @auc_moussafaki: delighted to meet @un sec-general @antonioguterres in addis ababa this morning to discuss issues on peace,,,0,,,,,,
leaders urged to renew commitment to a malaria-free africa #30thausummit read more at ,0,,,,,,,,
african union commission and the coalition for dialogue on africa deepen collaboration on curbing illicit financial… ,0,,,,,,,,
international court of justice #icj agrees that @_africanunion presents its submission on request for advisory opin… ,0,,,,,,,,
the 2nd high level dialogue on enhancing policies and practices to promote  stem-focused #tvet for women and girls… ,0,,,,,,,,
the @_africanunion to launch the africa agriculture transformation scorecard towards achieving agricultural transf… ,0,,,,,,,,
the sixth meeting of the  au-eu-un task force on the stranded migrants situation in #libya at the working level… ,0,,,,,,,,
"au commissioner for political affairs,,0,,,,,,,
"the  @_africanunion commission extends condolences following the death of h.e  patrick mazimhaka,,0,,,,,,,
"#30ausummit  press briefing: h.e. samate cessouma minata,,0,,,,,,,
"#30ausummit press briefing: h.e. elfadil amira elfadil mohammed,,0,,,,,,,
"#30thausummit press briefing: h.e.  sacko josefa leonel correa,,0,,,,,,,
rt @au_economy: all accredited journalists and media outlets for the #30thausummit are invited to the launch of the 2018 african economic o…,0,,,,,,,,
"#30thausummit press briefing: commissioner for trade and industry:  combating corruption in the sectors of trade,,0,,,,,,,
"#30thausummit watch @auc_moussafaki,,0,,,,,,,
watch the opening ceremony of the 32nd ordinary session of the executive council #30thausummit live now @… ,0,,,,,,,,
"press briefing by mr. mourad ben dhiab,,0,,,,,,,
press briefing: auc directorate of information and communication - useful media tips for the coverage of the… ,0,,,,,,,,
#30thausummit watch the au/ cieffa  press conference on #tvet and #stem live now @ ,0,,,,,,,,
the single african air transport market #saatm will be launched on 28th january 2018 at the margins of the… ,0,,,,,,,,
"#saatm: air space connectivity,,,,,,0,,,
