text,label,,,,,
rt @chochake: dandora love: the return of the legendary ukoo flani mau mau  ,0,,,,,
west african leaders give firm assurance of meeting the 2020 deadline for introduction of the eco single currency.… ,0,,,,,
the rwanda utilities regulatory authority (rura) yesterday suspended a local radio station for 30 days for airing a… ,0,,,,,
rt @chochake: photos: the bouncer who killed mowzey radio arrested  ,0,,,,,
"rt @kollonabiswa: ""mbao mbao..."",,,,,,
finally met this mad mzungu. ",0,,,,,
rt @chochake: prayers planned for bed ridden mowzey radio  ,0,,,,,
"rt @kollonabiswa: jews: are you not jesus' friend?,,,,,,
peter:  ,,,,,,
,,,,,,
#nasaoathday ",0,,,,,
rt @chochake: king kaka partners with anerlisa muigai to keep needy girls in school  ,0,,,,,
rt @kollonabiswa: have you heard about xiaomi phones?,0,,,,,
news indepth - war of paints erupts in ugandan market  ,0,,,,,
international lender under investigation for role in rwanda genocide  ,0,,,,,
tanzania is rapidly closing its economic gap with kenya  ,0,,,,,
"kenya in spirited fight against human trafficking,,0,,,,
"ethiopia says it has managed to make 45,,,0,,,
ethiopia has asked for extension of a 90-day amnesty that will expire wednesday issued by saudi arabia for illegal migrants to return home.,0,,,,,
"a cholera outbreak in somalia has killed 795 people since january,,0,,,,
"last month,,0,,,,
zambia has dismissed reports that it bribed the head of an imf mission in order to get a bailout package the country was seeking.,0,,,,,
rt @lindaunobel: we're happy to meet john adongo from #kenya 🇰🇪 in 24 days here in #lindau  #lino17 @aasciences @hel…,0,,,,,
tanzania's ngo's have called on the government to review laws that provide limited access of women to participate in economic activities.,0,,,,,
zambian president edgar lungu has said he will not allow the holding of a referendum on the bill of rights due to f… ,0,,,,,
south african victims of apartheid met the department of justice to demand reparations for injuries suffered during white minority rule.,0,,,,,
"kenya,,0,,,,
kenya's president declares biting drought a national disaster  ,0,,,,,
rwanda to make kiswahili compulsory in schools  ,0,,,,,
world bank values dar’s real estate sh273bn more than nairobi   ,0,,,,,
"rwandan lawmakers have passed a law establishing kiswahili as an official language in addition to english,,0,,,,
"somalia says preparations for wednesday's presidential polls,,,0,,,
rt @dannmwangi: united states govt says kenyan citizens are not affected by president trump's directive to suspend entry of some nationals…,0,,,,,
somali herders hard hit as drought strikes horn of africa  via @africareview,0,,,,,
the gambia president-elect barrow 'to stay in senegal until inauguration'  via @africareview,0,,,,,
hospital builds new unit to operate on '500kg' egyptian woman  via @africareview,0,,,,,
cote d'ivoire government and rebel troops reach deal  via @africareview,0,,,,,
gambia talks fail as president refuses to step down  via @africareview,0,,,,,
president obama lifts sanctions on sudan  via @africareview,0,,,,,
the tanzanian govt has allocated about $1.3 million for payment to families of people killed or injured by wildlife across the country.,1,,,,,
"blind & visually-impaired rwandan voters will be able to cast their votes in 2017 elections using braille ballot papers,,0,,,,
malawi charges ‘tanzanian spies’  via @africareview,0,,,,,
"burundi threatens to sue au,,0,,,,
sudan lawmakers vote to bring back pm post  via @africareview,0,,,,,
somali police could soon ‘stand on its own’  via @africareview,0,,,,,
"nigeria removes 50,,0,,,,
burundi passes law cracking down on foreign ngos  via @africareview,0,,,,,
un security council rejects arms embargo on south sudan  via @africareview,0,,,,,
all-night talks fail to reach dr congo deal  via @africareview,0,,,,,
hijacked libyan plane lands in malta: pm  via @africareview,0,,,,,
no stopping somali women tourney  via @africareview,0,,,,,
gambia crisis: senegal troops 'on alert' if jammeh stays on  via @africareview,0,,,,,
at least 40 killed in dr congo anti-kabila protests:  via @africareview,0,,,,,
"charles onyango-obbo: this year,,0,,,,
"zuma dismisses critics,,0,,,,
"in cote d'ivoire haven,,0,,,,
rt @reutersafrica: #kenya seizes nearly two tonnes of ivory from shipment bound for #cambodia   ,0,,,,,
"rt @dailymonitor: today: ,,,,,,
1. mutebile,,,,,,
2. mumbere gets tv,,,,,,
3. army did not sack br…",0,,,,,
kenyan mps amend election laws - daily nation  via @dailynation,0,,,,,
gambia's top court adjourns election case until jan 10  via @africareview,0,,,,,
africa today at a glance  via @africareview,0,,,,,
congo crisis talks as bishops urge deal by christmas  via @africareview,0,,,,,
mugabe opens new victoria falls airport  via @africareview,0,,,,,
deadlock hits sierra leone’s constitutional review process  via @africareview,0,,,,,
museveni orders makerere university closed over strike  via @africareview,0,,,,,
morocco protests: death of fish seller triggers rare demonstrations  via @africareview,0,,,,,
breaking: anc chief whip urges jacob zuma to quit  via @africareview,0,,,,,
south africa''s withdrawal rocks international criminal court  via @africareview,0,,,,,
malawi president speaks out over illness rumours  via @africareview,0,,,,,
burkina faso foils an attempted coup  via @africareview,0,,,,,
south africa 'to withdraw from war crimes court'  via @africareview,0,,,,,
