text,label
congo bribery probe puts israeli billionaire's future on hold ,0
nigeria’s biggest bank by revenue expects lending to accelerate and bad debts to drop this year ,1
parents say 101 nigerian girls are missing after boko haram attack ,0
"south africa’s ruling party to hold meeting of its top body starting sunday, members say ",0
crackdown on dissent puts kenya's democratic status at risk ,0
burkina faso is looking for a new partner to mine the world’s largest manganese deposit  ,0
world-beating bonds get second wind after s. africa’s budget (1),0
"mtn ghana to appoint ic securities as sponsor for ipo
",
"nigeria takes steps to avoid repeat of etisalat collapse 
",0
crackdown on dissent puts kenya's democratic credentials at risk ,0
anglo american boosts dividend as mining turns into a cash cow ,1
"outbreak of optimism in south africa may spur ipos, bourse says ",0
banker turns winemaker turns banker: south africa’s michael jordaan is back ,0
"burkina faso seeks new partner for $1 billion manganese project
",
the end of water comes first to cape town ,0
3 charts to know: analysts go gaga for glencore ,0
crackdown on dissent puts kenya's democratic credentials at risk  #kenya,0
#gupta empire crumbles as zuma exits #southafrican presidency ,0
#ethiopia's next leader could come from protest-hit #oromia region ,0
a look at south africa's future ,0
"charts show the tough decisions taken in south africa’s budget
",
"south african assets advance as budget seen averting junk status
",
"analysts like what they see in south africa's budget plan
",
"japaul nigeria to receive $350 million funding from milost 
",1
"ethiopia's next leader could come from protest-hit region
",
south africa's biggest labor group rejects budget as anti-poor ,0
"apple is said to negotiate buying cobalt direct from miners 
",0
"black panther's lesson for cobalt
",
"glencore m&a firepower undimmed after $2.9 billion dividend
",
"bank stocks could emerge winners from tough south african budget
",
"miners rich in cash are aiming for fat dividends, debt payments
",
"luxury cars that littered guptas’ yard a way to recoup some cash
",
guptas' optimum coal risks suspension as workers protest ,0
latest: south africa's ruling party takes a political gamble by increasing sales tax for the first time since the e… ,0
rebel's fighters become movie stars as ugandan cinema booms  #josephkony,0
rand’s ‘ramaphosa rally’ in doubt  amid mixed technical signs  #southafrica @citi @jpmorgan,0
rwanda to issue mining licenses to attract $2 billion of investment in 2018 ,1
"guptas' optimum coal at risk of suspension, south africa says ",0
robert mugabe's biggest foe laid to rest in his home village ,0
"guptas' optimum coal at risk of suspension, south africa says
",
"robert mugabe's biggest foe laid to rest in his home village
",
"dividends, m&a and congo: what to watch before glencore results
",
"cell c plans to double spending in wake of blue label deal 
",0
"och-ziff’s plea deal may be upended with restitution claim
",
is the party over for the rand?  ,0
mines linked to child labor are thriving in rush for car batteries  #drc,0
zuma's political victims to return to south africa cabinet ,0
uganda holds its first coffee auction in bid to promote quality ,0
anglogold to revive ghana mine that battled illegal miners ,0
there's a dark side to the electric-car boom. some mines that produce battery ingredients are linked to child labor ,0
kenya lost imf facility last year someone tell the central bank ,0
kenya authorities confiscate two opposition officials' passports ,0
"#kenya lost imf facility last year. someone tell the central bank
",
"ethiopia needs 'fresh forces' to deal with upheaval, party says ",0
mines linked to child labor are thriving in rush for car batteries #congo #drc ,0
steinhoff ex-partner wins case against scandal-hit retailer ,0
"#kenya authorities confiscate two opposition officials' passports
",
"mines linked to child labor profit from battery boom
",
#gupta brother says dairy farm money didn't go into his accounts ,-1
"south africa budget, brazil reforms to be emerging markets focus
",
"signs of thaw in south africa mine fight as ramaphosa starts
",
"ethiopia needs ‘fresh forces' to deal with upheaval, party says
",
"imf deadlock makes zambia’s bonds the worst in emerging markets
",
"south african fund manager puts up bounty in hunt for the guptas
",
"togo opposition, government begin talks to resolve crisis ",0
it’s been a bad start to the year for zambian bonds ,-1
"zimbabwe plans gold, tobacco diaspora bonds as bank rules change ",0
south africa port and rail group transnet s out to conquer the continent ,0
capitec ceo says business 'back to normal’ after viceroy target ,0
amplats revives dividend after six-year pause as debt drops ,1
zuma budget hole leaves south africa with tough tax choices  ,0
"south africa's ramaphosa pledges growth, jobs, graft crackdown
",
"jihadists close mali schools as revolt against state flares
",
"ethiopia faces watershed moment after prime minister resigns
",
the world food programme is testing digital wallets built on ethereum  (via @crypto) ,0
south africa court finds public protector was biased in absa report ,0
africa's richest man said to revive dangote cement ipo ,0
ethiopian pm hailemariam has ruled horn of africa nation since 2012 resignation follows more than two years of spo… ,0
"south africa officials need 'lifestyle audits,' to detect corruption, treasury's momoniat says ",0
nigeria buys spot gasoline cargoes relies on imports for most of its refined fuel needs ,0
finance ministry says order book in excess of $11.5 billion for nigeria bonds ,0
ivory coast to weigh five lenders for eurobond sale ,0
"south africa’s budget to be presented on feb. 21, treasury’s momoniat says
",
"nedbank ceo says ramaphosa facing 'enormous hurdles' - video
",
"zuma's resignation marks south africa's moment
",
"jihadists close mali schools as revolt against state intensifies
",
pitting the lira against the rand is a vogue trade that’s rarely paid out ,0
south africa’s bonds are getting more love than mexico’s ,1
death of tsvangirai threatens unity of zimbabwe’s opposition ,0
"mandela's favored heir takes power in south africa
",
short sellers get caught out in south africa's swift power transfer ,0
south african police unit seeks `fugitive' gupta brother ajay ,0
