text,label,,,,,,
imagine official water channels from gok agencies has been diverted by water cartels to sell to us and now we have… ,-1,,,,,,
"if you haven't noticed,-1,-1,,,,,
we don't know about the quality of the water we drinking.  those charged with the duty of trust to ensure the water… ,0,,,,,,
"i was there.  as a key water tower,-1,-1,,,,,
"dear entrepreneur,,,,,,,
e017 was purely an examination period without the needed lessons. the lessons are here. it's onl… ",0,,,,,,
rt @jumaf3: the @coopbankenya has opened a new branch at kilimani as a answer to a call of numerous customers who have been seeking for the…,1,,,,,,
"dear kenyans,,0,,,,,
"a big housing project,-1,-1,,,,,
"imagine kericho has run out of water. it's in the heart of one of the key water towers,-1,-1,,,,,
"rt @iwateba: m-pesa fraudsters have found a new way to defraud folks! almost got finessed this fine morning! ,,,,,,,
,,,,,,,
so this lady calls to tell m…",0,,,,,,
dear #kot be warned. ,0,,,,,,
rt @iwateba: @qoeysue me i was apo just being a good person and not thinking.,0,,,,,,
"rt @iwateba: alafu immediately the money went through,,,0,,,,
"rt @iwateba: so this lady sent chumz to me,,,0,,,,
"rt @iwateba: when i get the transaction message,,0,,,,,
"rt @iwateba: so i'm like,,,0,,,,
"@cyro_it we will remember her,,0,,,,,
the suffering we are about to face...the issue of water is going to be a national security matter. lack of food or… ,-1,,,,,,
"webuye i the last 37 years has never been this dry,,0,,,,,
"dear entrepreneur,,0,,,,,
"as we rush for concrete homes and plush gated communities,-1,,-1,,,,
"rt @waambui: some kenyans cheer police as they disobey court orders,,0,,,,,
rt @nrabach1: a drive into kenya's countryside reveals a seriously disturbing fact. rivers are drying up literally. formerly plush fields a…,0,,,,,,
rt @waambui: there is a day kenyan mps were complaining about the quality of food at parliament building's main restaurant. they even sent…,0,,,,,,
"rt @waambui: gok been busy revoking firearm licenses of opposition leaders but in kerio valley,,0,,,,,
rt @wmutunga: raphael tuju. your letter to cj maraga reflects the arrogance of political power and utter disrespect of the institution of t…,0,,,,,,
"rt @waambui: republics are created by the virtue,,0,,,,,
"rt @waambui: on one hand,,,0,,,,
but who cares? ,1,,,,,,
rt @estherpassaris: today i celebrate hon. @okothkenneth for his leadership and vision. to witness the commissioning of mbagathi high schoo…,1,,,,,,
"rt @waambui: all police camps involved in the lamu county's security operation,,,,0,,,
"rt @abikar114: if the energy,-1,-1,,,,,
rt @waambui: worsening insecurity in parts of north eastern and rift valley. schools are closing & teachers are even leaving north eastern.…,-1,,,,,,
rt @saddiqueshaban: a kenyan photographer picked a nairobi street couple and had them made up for a shoot. their transformation into models…,1,,,,,,
"rt @waambui: so many schools,-1,,-1,,,,
rt @hkmutai: kericho 😢 this is the direct result of destroying the mau with no thought for the future ,-1,,,,,,
rt @wmnjoya: dear parents: no head teacher should tell you that your kid can't go to class without you bringing a birth certificate. that's…,0,,,,,,
rt @waambui: kenyan mps have the time to debate about lack of tissue in the washrooms & faulty gym machines but have no time to discuss & f…,-1,,,,,,
"rt @finding_naema: “the peacock can barely fly. it lives in the dirt,,,0,,,,
"rt @davidndii: as gok goes ahead with lamu coal plant,-1,-1,,,,,
"rt @elayneokaya: this very rude and very drunk man just hit me at shell kileleshwa.,,,,,,,
i pulled up next to him and asked him to pull over but…",0,,,,,,
@royzain  ,0,,,,,,
cultivating the green opportunity in kenyan real estate  #sokonews ,1,,,,,,
according to moody’s more pressure is likely to mount on the government’s liquidity and therefore able to repay ari… ,-1,,,,,,
"dear entrepreneur,,,,,,,
decide today that you won't give up on your dreams and desires. keep pressing forward believing… ",0,,,,,,
"dear kenyans,,,0,,,,
"rt @igaddo: zuma,,0,,,,,
"i guess if you care about your hair,,0,,,,,
"darling puts the consumer at the heart of every innovation,,0,,,,,
"in fiscal year 2017,,0,,,,,
"@darling-kenya has operations in 14 countries across africa,,1,,,,,
"in 2011,,,1,,,,
great thoughts go into making @darling_kenya hair extensions with regards to creative and innovative designs that m… ,1,,,,,,
@darling_kenya mission is to be a consistent world leader in manufacturing of the highest quality hair additions #hairlightasair,1,,,,,,
an extremely dedicated and highly trained research and development team designs @darling_kenya hair extensons to ma… ,1,,,,,,
@darling_kenya is the market leader in the production and distribution of the highest quality hair additions in east africa.,1,,,,,,
@darling_kenya has been in the african market for over 26 years and currently exists in 21 developing african countries. #hairlightasair,1,,,,,,
"@darling_kenya was the first brand in africa to introduce kanekalon fiber,,1,,,,,
"kenya produces an estimated 115,,,1,,,,
#kot a few facts about @darling_kenya #hairlightasair,1,,,,,,
this is for everyone going through a tough moment with idea how tomorrow will be...may his providence be with you… ,0,,,,,,
"rt @wehliyemohamed: we,,,,1,,,
martin wambora’s nine lives are over as high court nullifies his win ,-1,,,,,,
@jmutinda_snr @jn_shine @fchurii @ampurityke @donsarigo @vichekesho_ @itsmutai @yvonneokwara @rirojeremy @gathara… ,0,,,,,,
rt @jumaf3: just arrived for the @darling_kenya launch of #hairlightasair ,1,,,,,,
narudisha || gloria muliro official video (skiza code 5890450)  no matter how bad it is...go… ,1,,,,,,
beautiful answer ,0,,,,,,
@omogusi well said #hairlightasair,1,,,,,,
imagine struggling to pay salaries/rent/taxes. struggling to make honest profits only for a thieving gok to misuse… ,-1,,,,,,
kenya tourism board seeks to expand operations in the ugandan market  #sokonews ,1,,,,,,
"rt @mollyjumah: thinking of gifting a friend with something customised and hand made?? ,,,,,,,
you could make it different by getting a christened…",0,,,,,,
"dear #kot men,,,,,,,
,,,,,,,
discuss.",0,,,,,,
running a legit business in kenya is just a pure struggle. adding salt to injury is when you realize all the taxes… ,-1,,,,,,
"did you know that @darling_kenya hair additions are an assortment of braids,,,1,,,,
"this evening @darling_kenya will be launching its premium braid,,,,,,,
#hairlightasair",0,,,,,,
"we did the first eurobond and we never explained how we spent the money. no kenyan bothered. ,,,,,,,
,,,,,,,
now we doing two mor… ",0,,,,,,
"dear kenyans,,1,,,,,
"rt @kecurious: @sokoanalyst without production,-1,,-1,,,,
@kecurious i spoke about it till i got tired.,0,,,,,,
you have said it so well and for the last 15 years we have been pushing the wrong projects as the normal lives of k… ,-1,,,,,,
rt @jumaf3: i always think that a woman's hair always divides what is false and what is true #hairlightasair,0,,,,,,
rt @jumaf3: the hair is the richest ornament of women #hairlightasair,0,,,,,,
@stevekenyan wow! this is going to change how payments are done. this will entrench the online business better,-1,,,,,,
rt @bd_africa: tech giant google enables m-pesa express payments on the google play store allowing kenyan android users to pay for apps via…,1,,,,,,
"rt @jumaf3: as people talk about #repeal162,,0,,,,,
@unicef appeals to stakeholders to help end child birth deaths  #sokonews ,0,,,,,,
"dear kenyans,,0,,,,,
me reading the #twendekazi tweets ,0,,,,,,
how can we say #twendekazi when over 3m kenyans are about to die due to starvation? isn't food a basic right and ba… ,-1,,,,,,
am reading the #twendekazi tweets and am seeing people only keen to perfect their own interests. which is fine. but… ,0,,,,,,
"what happened to galana? what happened to jubilee 's promise that no kenyan will starve? ,,,,,,,
,,,,,,,
how can we have a leader… ",0,,,,,,
@uchumikenya the stock is currently trading at 3.35 shillings per share and continues to attract speculative activi… ,1,,,,,,
"@uchumikenya currently,,1,,,,,
@uchumikenya kuramo capital was to inject 3.5 billion shillings into the retailer to plug in a 5 billion shilling d… ,1,,,,,,
@uchumikenya the directors did not recommend payment of an interim dividend to its shareholders.  #sokonews,-1,,,,,,
"@uchumikenya additionally,-1,-1,,,,,
@uchumikenya cash from operations remains negative albeit an improvement from 1.11 billion shillings in 1h17 to 340… ,-1,,,,,,
@uchumikenya operating expenses declined 15.5 percent on the back of a reduced workforce due to the closure of some… ,1,,,,,,
@uchumikenya revenue fell by 71.5 percent on a year-to-year basis to 526.97 million shillings while the cost of sal… ,-1,,,,,,
@uchumikenya the ailing retailer has released the results with poor bottom-line numbers after suspending the proces… ,-1,,,,,,
@uchumikenya the loss after tax for @uchumikenya has increased by 63.6 percent to 895 million shillings as compared… ,1,,,,,,
more tribulations as uchumi supermarket’s loss after tax rises by 63.6%  #sokonews… ,-1,,,,,,
rt @jumaf3: you want to know how much kenya owed other countries as at june 2017? i have it all under my @_sokotv. here is the channel ,-1,,,,,,
