text,label,,,,,,,
"ngura: in poultry farming,,0,,,,,,
ngura: get advice from an expert on the business in matters feeds and finances too #businessinsight #farmtalk ^mk,0,,,,,,,
"rt @ruthmutegi: @kbcchannel1 @obrienkimani manufacturers have a challenge in production of poultry feed,,0,,,,,,
"okuta ngura: poultry farming is not an easy venture. it requires research,,0,,,,,,
"ngura: get information before you go into poultry farming,,0,,,,,,
"ngura: before you start poultry farming,,,0,,,,,
ngura: improved versions of indigenous birds grow fast and matures withing 3 months #kbcbusinessinsight… ,0,,,,,,,
"okuta ngura:  govt should come up with breeding farms to ensure farmers get pure stock  #big4agenda,,0,,,,,,
ngura: poultry farming contributes 1.7pc of kenya's gdp an equivalent of ksh 120b. financial institutions should gi… ,0,,,,,,,
"ngura: start small,,,0,,,,,
ngura: education is the key to successful poultry farming #kbcbusinessinsight #bigfouragenda ^bn ,0,,,,,,,
"ngura: the govt,,0,,,,,,
okuta ngura:  the government should come up with policies that will boost poultry farming. sensitization is also ke… ,0,,,,,,,
ngura: a tray of eggs in nyanza is more expensive than in kiambu county. #businessinsight #big4agenda ^mk,0,,,,,,,
okuta ngura:  the culture of kenyans wanting to keep indigenous birds is affecting poultry farming. broilers are mo… ,0,,,,,,,
ngura: we import eggs since farmers prefer buying them cheap and selling them later at a profit. #businessinsight #big4agenda ^mk,0,,,,,,,
ngura: we need educate and give incentives to the farmers. #kbcbusinessinsight #bigfouragenda ^bn,0,,,,,,,
okuta ngura:  ugandans use fish meal and maize as feeds which is cheaper for them because they two are not their st… ,0,,,,,,,
ngura: we need to reduce the cost of field production #businessinsight #farmtalk #big4agenda ^mk,0,,,,,,,
okuta ngura:  we need to grow animal feeds. farmers withdraw from from keeping eggs because the profits are low and… ,0,,,,,,,
okuta ngura: egg consumption in kenya is low. egg prices are high. theres need to reduce raw materials for egg prod… ,0,,,,,,,
"okuta ngura: consumption of eggs in kenya is low. we get 100-120 eggs from indigenous breeds  #big4agenda,,0,,,,,,
"okuta ngura: cost of egg production is high. farmer spends ksh7 to produce an egg  #big4agenda,,0,,,,,,
