text,label,,,,,
a #tbt to celebrate #worldwaterday! watch how water contributes to a better life all around #africa and find out ho… ,0,,,,,
"it's #worldwaterday💧at the end of 2017,,,0,,,
"#worldwaterday interview: osward mulenga chanda raises the issue of access to financing for water,,0,,,,
"@adetulaolaoluwa @evaluationafdb @afdb we're still receiving submissions,,0,,,,
our colleagues at @evaluationafdb would like to hear your feedback! 👇🏾 ,0,,,,,
on #intlforestday here are some facts about timber exports: the main timber-exporting african countries are in the… ,0,,,,,
"for #intlforestday our african natural resources centre assessed forestry law enforcement,,0,,,,
#didyouknow: there are opportunities to integrate export & import markets within #africa by promoting trade of timb… ,0,,,,,
#intlforestday: the potential to contribute to the green economy & increase revenues through foresty sector depends… ,0,,,,,
rt @richard_uku: the african natural resources centre of the @afdb_group today launched two forestry reports on #internationaldayofforests…,0,,,,,
#intlforestday: #infrastructure projects funded by the bank include socio-economic components to increase impact on… ,0,,,,,
#blog: climate finance can unleash the potential of the private sector to fight deforestation and forest degradatio… ,0,,,,,
"covering about 21-23% of africa's land mass,,0,,,,
rt @richard_uku: today is #internationaldayofforests2018 let's appreciate the greenery we enjoy and the endowment of our forests. they're a…,0,,,,,
"rt @rudolph_afdb: @afdb_group discussing with he mansour faye,,0,,,,
"🌳🌲 #intlforestday: this year's theme - forests and sustainable cities - promotes cleaner,,0,,,,
rt @richard_uku: two interesting knowledge reports being launched by the african natural resources centre in #abidjan on international day…,0,,,,,
"our 2018 internship program is open! if you are between 18 and 30 years old,,0,,,,
exciting partnerships in #rwanda: a road project will serve 1.1 million people & facilitate travel+trade between rw… ,0,,,,,
"rt @uom_ayal: stop what you’re doing... amazing opportunity ahead! 👀,,,,,,
,,,,,,
check out the @afdb_group #africaofmydreams essay competition,,0,,,,
"rt @victoroladokun: excellent discussions and debates featuring african development bank’s @akin_adesina,,,0,,,
rt @choi_afdb: the african development bank group president akinwumi adesina visited #korea to check preparation of the bank's 53rd annual…,0,,,,,
christie tume dadacha (25) (in white coat) and amina addan (23) are in charge of grading sand for quality control o… ,0,,,,,
"midwife salamatu seidu (53) is in-charge at fufulso community clinic,,0,,,,
"caroline muliro (27) is a plant operator at the bank's menengai geothermal project. when she was a child,,0,,,,
"during a visit to japan,,0,,,,
the @happinessrpt's featured in this week's top 10 must-read stories curated by jennifer blanke. also on the list?… ,0,,,,,
vp @amadouhott participated in #isasummit in delhi. read on to find out how the @isolaralliance team and the bank a… ,0,,,,,
"rt @e_faal: @afdb_group vp hott @e_faal met with he osinbajo,,0,,,,
4 days left to submit entries for the african banker awards 2018! the prestigious event - sponsored by the bank - w… ,0,,,,,
"66 days until our annual meetings in busan,,,0,,,
"rt @ghcorps: do you have a vision for the future of #africa? are you an african national aged 20-29? if you answered “yes” to both,,0,,,,
"big congratulations to 300 engineers of @tcn_nigeria who completed a training session organised by @ancee_racee,,0,,,,
"#2018aeo: fueled by rising world prices for raw materials and domestic demand,,0,,,,
#2018aeo: economic growth in west africa is projected to rise to 3.8% in 2018 and 3.9% in 2019. household consumpti… ,0,,,,,
"#2018aeo: in southern africa,,,0,,,
#2018aeo east africa recorded africa's best economic performance in 2017. the good performance of the sub region is… ,0,,,,,
#2018aeo: north africa continues to show a positive outlook for 2018 & 2019. growth was fueled by new high value-ad… ,0,,,,,
"we've expanded our flagship publication,,,,,,0
"rt @stephen_yeboah: africa is growing,,0,,,,
"central and west africa #2018aeo launched today in abidjan! ""by introducing a regional focus forthe 1st time,,0,,,,
"launched today in #nairobi,,0,,,,
rt @cbb2cornell: very excited to see this special issue of @worlddevjournal in print co-edited with @paulchristianwb  and @afdb_group 's ab…,0,,,,,
rahimatu mbamba (26) teaches a combined class of classes 1 & 2 pupils in jonokponto primary school. new classroom b… ,0,,,,,
tizata taye is a 22-year-old hairdresser. she says the african development bank funded mombasa-addis paved road is… ,0,,,,,
genet timotos (20) is one of the women workers who contributed to the realization of the bank's funded addis-mombas… ,0,,,,,
terunesh wodo (50) is a mother of 9. she's a merchant and housekeeper and is happy about the bank funded mombasa-na… ,0,,,,,
"how will africa's industrialization shape the economies,,0,,,,
"@shlomo254 @ramah_nyang @celestinmonga no,,0,,,,
"@rippleffectss @jmollel @celestinmonga yes,,0,,,,
@yommy55 @celestinmonga they will be made available on monday!,0,,,,,
"for the 1st time ever,,,0,,,
we are hosting the african women of the future leadership fellowship today. @vanessamoungar is rocking the stage en… ,0,,,,,
rt @amadouhott: will be attending the #isasummit2018 in new delhi to promote #africa's #solar future. this follows @gcf_news funding for #z…,0,,,,,
you want to read the nine inspiring profiles of women at the african development bank. discover the stories of thes… ,0,,,,,
#iwd2018: @choi_afdb is strengthening cooperation and maintaining good relations between african and asian countrie… ,0,,,,,
mentor. mother. wife. woman. advocate. @oleydibbawadda is all of that and more. read her inspiring portrait in whic… ,0,,,,,
jennifer blanke shares her words of wisdom for young women everywhere and explains how witnessing inequalities in h… ,0,,,,,
on #iwd2018 we shine a spotlight on inspiring women who are making a difference in the bank and contributing to tra… ,0,,,,,
we're celebrating #iwd2018 with a photo exhibition of african women whose lives have been impacted by the bank's fu… ,0,,,,,
rt @ipsnews: women in africa constitute a meagre 15% of land use rights & just 1% of land ownership. they receive only 5% of agriculture ex…,0,,,,,
"rt @alphonsovm: great team,,0,,,,
"""a bird can only fly with two wings. for too long,,0,,,,
"rt @celestinmonga: #rwanda’s exports grew 57.6 % in just one year,,1,,,,
"the bank's east african governors discussed economic challenges,,0,,,,
“this is no longer business as usual” said @akin_adesina at the start of meetings w/ the bank's north african gover… ,0,,,,,
youth unemployment and #africa's growing population was a hot topic during east and north african governors consult… ,0,,,,,
"over the past two days,,0,,,,
rt @mavoko_lad: the 5yr #enableyouthprogram  funded by @afdb_group wil see creation of 2k agribusinesses using #businessincubation models.i…,0,,,,,
"meet the new senior management appointees at the african development bank: dr. hanan morsy,,,0,,,
"""it's not about a world with only women leading - it's about diversity""- pleased to have director @vanessamoungar a… ",0,,,,,
#worldwildlifeday: partnerships are 🔑to protecting africa's wildlife! what are we doing to protect one of the conti… ,0,,,,,
rt @drbeileh: honoured to have participated in the 1st east african governors consultative meetings @afdb_group today. i shared somalia's f…,0,,,,,
rt @tigritude: passionate about development? digital communications expert? communications & resource mobilization background? @afdb_group'…,0,,,,,
"to increase competitiveness,,,0,,,
can the digital revolution transform #agriculture? that's what a @brookingsinst article included in our 10-must rea… ,0,,,,,
@tee_ndabana all of our job openings and opportunities are posted on our website: ,0,,,,,
the african #leadersfornutrition initiative will track countries and regions' progress in tackling #malnutrition ac… ,0,,,,,
"rt @nairobiiw: we received >260 applications from the @afdb_group @nairobiiw high 5s startups challenge. 8- ethiopia,,,0,,,
"african development bank achieves 100% investment in #green #energy projects in 2017,,1,,,,
looking for practical knowledge on various themes pertinent to the #development of #africa? we have you covered! br… ,0,,,,,
young #agripreneurs are making #agriculture cool all over #africa. these creative entrepreneurs are changing the fa… ,0,,,,,
"the 1⃣  🐄 per family programme in #rwanda has many benefits: it improves #nutrition,,,0,,,
#results: 4.6 million farmers have seen an income increase between 2005 and 2015 in #cameroon… ,1,,,,,
#blog: what is a truly global response to #climatechange? effective global partnerships to mobilize funding and tra… ,0,,,,,
development is as much about economic #growth as it is about #empowering people to achieve their needs & aspiration… ,0,,,,,
african development bank and mozambique sign us$29 million grant agreements to finance #agriculture and skills acqu… ,1,,,,,
a us-funded digital platform is helping rural farmers to grow healthy crops in #rwanda by using gps and satellite i… ,0,,,,,
rt @siwi_water: time for young professionals to take the stage! join the #wwweek speaker directories today ➡️ ,0,,,,,
rt @norwaymfa: thank you president of @afdb_group @akin_adesina for an inspiring meeting! your work is important for #africa in attaining #…,0,,,,,
watch a clip from @akin_adesina's speech as the distinguished guest speaker at @usda #agoutlook last week:  “i am h… ,0,,,,,
"@makomborerobusu  - click on the ""submissions"" tab on the left menu.",0,,,,,
"we salute teachers bringing ict to youth! we're working on that too - as part of our #jobs4youth initiative,,0,,,,
@solutionliberte ,0,,,,,
@ade_lewa the deadline for submissions is march 26. there is more info at the link: ,0,,,,,
"what does the future of #africa look like? how will the 4th industrial revolution shape the economies,,0,,,,
#southafrica is great ex on how to attain brain-drain/brain gain equilibrium = the number of highly skilled people… ,0,,,,,
"african development bank supports #gabon's optic fiber backbone project -an integrated,,0,,,,
@trustonailende @africateengeeks holding the event in korea is a great opportunity to showcase africa in a new coun… ,0,,,,,
"officially launched: we are one of the founding members of the sahel alliance,,0,,,,
today is the last day to apply to the #high5s #startup challenge! pitch your idea to an investor audience and exper… ,0,,,,,
"@anmirigue yes,,0,,,,
"@anmirigue the deadline is march 26,,0,,,,
"young africans,,0,,,,
"“i do not seek aid for africa. i seek investments in africa"" said @akin_adesina making a strong case for increased… ",0,,,,,
"rt @fashionomicsadb: african local designers re-defining the market!! read why:,,,,,,
 @afdb_group ",0,,,,,
the african development bank board has approved @rockefellerfdn trust fund with initial us$ 3 million to support th… ,1,,,,,
the level of intra-african regional trade is the lowest globally. regional integration is a development priority fo… ,0,,,,,
"#didyouknow #africa has 65% of world’s unused arable land? yet,,-1,,,,
"have you checked out our publications catalogue? we have a wealth of information,,0,,,,
rt @betterthan_cash: #africa is a pioneer in mobile banking and #digitalfinance is a powerful lever we can use to deliver real change for t…,0,,,,,
great read from our weekly 10-must read stories on economics &social development: though the world's been living th… ,0,,,,,
"how do we strengthen regional collaboration on #science,,0,,,,
"rt @akin_adesina: african development bank's work had great impacts on people in 2017: ,,,,,,
• 4.4 million with access to electricity,,,,,,
• 8.5 mill…",0,,,,,
serefina kawage always repays her loans! she's accessed five consecutive cycles from a bank-supported facility in… ,0,,,,,
"with loans from a bank-supported facility in #tanzania,,0,,,,
#didyouknow the african development bank supports tanzanian entrepreneurs with loan facility? it provides us$29 mil… ,1,,,,,
"earlier this week at the #africastiforum,,0,,,,
"rt @choi_afdb: the main theme of the 53rd annual meetings of the african development bank is ""#accelerating #africa's #industrialization"".…",0,,,,,
"from vision to action: this week in #tunisia,,0,,,,
towards #madeinafrica: transforming agriculture in africa through staple crops processing zones will replace food i… ,0,,,,,
"gender equality in the extractives industry: @africalegal,,0,,,,
rt @siwi_water: 💧calling all young professionals💧we need your voices at #wwweek! register in the yp speakers directory now: ,0,,,,,
rt @juvonenk: #afdb president says bank has 'finally come into its own' amid #reforms #high5s  @afdb_group,0,,,,,
japan 🇯🇵 provides us$700 million to african development fund to contribute to economic growth and poverty alleviati… ,1,,,,,
rt @unfccc: the programme of africa #climateweek18 has just been posted:  sign up now to be part of #climateaction i…,0,,,,,
"rt @nairobiiw: are you a #startup based in #easternafrica & focused on @afdb_group 's high 5? you stand a chance to win us💲1,,0,,,,
"rt @enableyouthsd: follow us on twitter at @enableyouthsd!,,,,,,
enable youth #sudan program is pleased to announce the launch of our #twitter ac…",0,,,,,
"political leadership and domestic financing are essential to accelerating investments in science,,0,,,,
#malawi is the only #african country meeting #lagosplan target of spending 1% of gdp on research & development and… ,0,,,,,
african leaders @alsisiofficial @auc_moussafaki are committed to ramping up investments in science and tech to buil… ,0,,,,,
africa’s youth = continent’s greatest asset + drivers of economic development.  of the 13.8 million students in afr… ,0,,,,,
smart investments in science and technology must place women and girls at the center. #womeninscience… ,0,,,,,
"more jobs and vocational training opportunities in tech and science are urgently needed to put africa’s youth,,0,,,,
“#africa cannot talk about innovations without investing in its human capital. support and #mentorship are essentia… ,0,,,,,
