text,label
$14 billion order book shows investors still crave african bonds ,1
"outbreak of optimism in south africa may spur ipos, says jse ",1
kenya's uchumi supermarkets reports $8.8 million loss in first half 2018 fiscal year stock down 30% ytd ,-1
mtn ghana appoints sponsor for upcoming ipo will sell 35% stake for roughly $450 million on ghana stock exchange ,1
zambia cuts benchmark lending rate by 50 basis points to 9.75% in response to lower inflation and slower economic gâ€¦ ,-1
are goil shares running out of gas? ,-1
"nigerian stock exchange sees another voluntary delisting (pcmn), the second already this year ",1
"malawi's economy to grow as much as 5% in 2018, says imf ",1
bharti airtel's holding company for africa explores ipo ,1
"camelot ghana: a princely business priced at a pittance

",0
uganda cuts benchmark lending rate to 9.0%. it's the country's 10th interest rate cut in the past two years. ,1
7-up nigeria seeks approval to de-list from nigerian stock exchange ,-1
"4 reasons investors should stay far, far away from mumias sugar ",-1
mtn nigeria to list shares on nigerian stock exchange this year ,1
"fan milk ghana: buy, sell, or hold? ",0
"africa's best stock markets ytd: ghana +21.1%, nigeria +15.6%, mauritius +7.5% ",0
is guinness ghana's glass half full or half empty? ,0
sefalana shares look cheap ,1
"africa's best stock markets ytd: malawi +54.0%, ghana +42.9%, south africa +33.7% ",0
from angola to zimbabwe: a guide to key african markets in 2018 ,0
express kenya to delist from nse after years of loss-making ,-1
how big are african pension funds?  by @africancapital,1
"africa's best stock markets ytd: malawi +49.5%, ghana +39.1%, kenya +28.6% ",1
kenya's national oil company to list on nairobi and london stock exchanges by early  2019,1
shares of cahora bassa dam to be sold on mozambique's stock exchange ,1
"ghana cuts key interest rate by 100 basis points, citing reduced inflation concerns and steady economic growth ",1
biggest african phone-tower firms are said to plan 2018 ipos ,0
mugabe's gone. is it time to buy zimbabwean stocks? ,1
uganda launches 10mw solar plant - the country's largest photovoltaic system ,0
"@gombera good question. technically, it's the best performer this year, but the dollar shortage makes it difficultâ€¦ ",-1
"africa's best stock markets ytd: malawi +46.7%, ghana +34.6%, mauritius +29.3% ",1
rt @africacapitalgp: isa holdings: african it security industry play - ,0
rt @africacapitalgp: kenyan election update -    political tension in kenya offers material for both optimistic & peâ€¦,0
mauritius cuts key interest rate to 3.5% to stimulate growth ,1
"africa's best stock markets ytd: zimbabwe +62.6%, malawi +48.7%, ghana +36.1% ",1
tanzania's maxcom africa nears ipo ,1
"africa's best stock markets ytd: zimbabwe +40.6%, ghana +29.5%, mauritius +29.2% ",1
nigerian stocks haven't had a run this good since 2001 ,1
vodacom tanzania extends ipo deadline until july 28 ,1
malawi cuts key interest rate to 18% in response to slowing inflation ,-1
"africa's best stock markets ytd: zimbabwe +35.6%, zambia +23.6%, mauritius +22.1% ",1
more than half of the world's population growth will be in africa by 2050 ,0
how consumer data can improve investment decision-making in africa ,0
star rapper akon mulls ipo of african solar initiative ,0
"africa's best stock markets ytd: zambia +20.9%, mauritius 17.7%, malawi +14.8% ",1
south africa inflation at 17-month low indicates end to interest rate hikes ,1
ghana cuts interest rate by 100 basis points to 22.5% on expectations of lower inflation ,1
africa investors eye niche markets as biggest economies slip ,-1
"tanzanian electronic payments provider, maxmalipo, prepares for ipo ",1
kenya's foreign exchange reserves hit record high ,1
will vodacom tanzania allow foreigners to buy shares after missing ipo target? ,0
"africa's best stock markets ytd: zambia +16.2%, ghana +14.8%, mauritius +14.3% ",1
mauritius: the island where africa's rich get richer ,0
scarred investors want proof naira will float for real on window ,0
viettel tanzania (aka halotel) to launch ipo on dar es salaam stock exchange later this month ,1
cloud atlas' africa-focused etf lists on jse ,1
rt @emeka_okafor: the potential of diaspora bonds in africa ,-1
rt @cloudatlas_ami: ceo maurice madiba blowing the kuduhorn at the jse yesterday just before the listing of the ami_big50 ex-sa listings @jâ€¦,1
