text,label,,,,,,,,
"allen waiyaki gichuhi elected lsk president after garnering 2,,,0,,,,,,
#jambokenya > hii leo #kijiweni @radiocitizenfm @afcleopards yabanduliwa na fosa juniors kutoka confederation cup n… ,0,,,,,,,,
#jambokenya > hii leo #kijiweni @radiocitizenfm @officialgmfc yafuzu kwa raundi ya kwanza ya caf champions league n… ,0,,,,,,,,
#jambokenya > hii leo #kijiweni @radiocitizenfm @championsleague timu za uingereza zamaliza na sare na @luchivya… ,0,,,,,,,,
#jambokenya > hii leo #kijiweni @radiocitizenfm @championsleague @chelseafc yalazimisha sare na @fcbarcelona na… ,0,,,,,,,,
#jambokenya > #kijiweni inang'oa nanga @radiocitizenfm kwa uchanganuzi wa soka na @luchivya @wilbrodanyamin @johnkyanda na @mmkalla,0,,,,,,,,
#jambokenya > hii leo #kijiweni @radiocitizenfm tunaanza na @championsleague na @luchivya @wilbrodanyamin @johnkyanda na @mmkalla,0,,,,,,,,
rt @radiocitizenfm: mjadala > #jambokenya nazungumza na mtangazaji wa zamani badi mukhsin na @waltermongare tunaangazia maslahi ya watangaz…,0,,,,,,,,
mjadala > #jambokenya nazungumza na mtangazaji wa zamani badi mukhsin na @waltermongare tunaangazia maslahi ya watangazaji na wasanii,0,,,,,,,,
mjadala > #jambokenya nazungumza na mtangazaji wa zamani badi mukhsin na @waltermongare tunaangazia maslahi ya wata… ,0,,,,,,,,
#jambokenya > #uchambuziwamagazeti swali linaulizwa njaa njaa hadi lini? @radiocitizenfm ,0,,,,,,,,
rt @radiocitizenfm: amka na kikosi cha #jambokenya #fridayedition 5-9 am ,0,,,,,,,,
amka na kikosi cha #jambokenya #fridayedition 5-9 am ,0,,,,,,,,
rt @stoney_victor: @bekimwamburi @radiocitizenfm @kakazema @icia_jacob karakanayasokanawawapata nikiwa hapa webuye@94.5 barcelona to win by…,0,,,,,,,,
rt @shantelgloria0: @radiocitizenfm kutoka ochude rausha mke wangu petronila shikuku na shantel gloria ujumbe asanteni marafiki kusimama na…,0,,,,,,,,
rt @shikalami31: @radiocitizenfm kurgung nandi nimerauka mimi,0,,,,,,,,
"rt @shantelgloria0: @radiocitizenfm kutoka ochude rausha mke wangu petronila shikuku,,,0,,,,,,
"rt @shantelgloria0: @radiocitizenfm kutoka ochude rausha mke wangu petronila shikuku,,,,0,,,,,
"rt @ojojiuthman: @radiocitizenfm @luchivya @inspektamwala @wilbrodanyamin #jambokenya. pokeeni salamu zangu hapo studio. ageng'a,,0,,,,,,,
rt @petronilashiku1: @radiocitizenfm ochude nimerauka mapema bendera ya #jambokenya inapepea juju hadi mwalimu davis ochola na shantel glor…,0,,,,,,,,
rt @petronilashiku1: @radiocitizenfm ochude bendera ya #jambokenya inapepea juju sana hadi mwalimu davis ochola na shantel gloria wakijiand…,0,,,,,,,,
"rt @ojojiuthman: @radiocitizenfm @luchivya @inspektamwala @wilbrodanyamin #jambokenya. nko tuned nikiwa ageng'a,,0,,,,,,,
rt @jesamuriat: @radiocitizenfm am present from amaase teso south,0,,,,,,,,
"rt @ojojiuthman: @radiocitizenfm @luchivya @inspektamwala @wilbrodanyamin #jambokenya. nko tuned nikiwa ageng'a,,0,,,,,,,
"rt @rasbashirwere: @radiocitizenfm mark mi present√,,,,,,,,,
#jambokenya",0,,,,,,,,
rt @mrizzykaytunes: @radiocitizenfm kakamega tuko ndani,0,,,,,,,,
rt @petronilashiku1: @radiocitizenfm kutoka ochude bendera ya #jambokenya inapepea juju sana hadi mwalimu davis ochola na shantel gloria wa…,0,,,,,,,,
kikosi cha #jambokenya kimejaa jaa studioni kigogo @luchivya @inspektamwala @wilbrodanyamin #fridayedition ,0,,,,,,,,
"rt @amujretep: @rono20bernard @radiocitizenfm @luchivya @inspektamwala @wilbrodanyamin @ngetichfred jambo kenya,,0,,,,,,,
"rt @bkisembe: @radiocitizenfm inapepea sana hapa chesiywo,,,,0,,,,,
"rt @ojojiuthman: @radiocitizenfm @luchivya @inspektamwala @wilbrodanyamin #jambokenya. nko tuned nikiwa ageng'a,,0,,,,,,,
rt @kamaukawambui2: @radiocitizenfm twihamwe muno ni kamaa kuuma wamahiga kaharati. ...,0,,,,,,,,
"rt @ojojiuthman: @radiocitizenfm @luchivya @inspektamwala @wilbrodanyamin #jambokenya. nko tuned nikiwa ageng'a,,0,,,,,,,
rt @petronilashiku1: @radiocitizenfm kutoka ochude nimerauka mapema bendera ya #jambokenya inapepeap juju sana hadi mwalimu davis ochola na…,0,,,,,,,,
#jambokenya > this is our roll call confirm if you are present,0,,,,,,,,
pokea baraka ndani ya #jambokenya @radiocitizenfm,0,,,,,,,,
karibia tubarikiwe pamoja ndani ya mpango wa #jambokenya #fridayedition kigogo @luchivya @inspektamwala na… ,0,,,,,,,,
awamu ya #majogoo #gospelmusic #barakatele #usalama #usafiri uko wapi?,0,,,,,,,,
"awamu ya #chaguolako wimbo upi,,0,,,,,,,
#usikusacco nielezee jina na eneo la #chemist #taxi #supermarket ambazo zinahudumu 24/7 @reggaematics,0,,,,,,,,
ndani ya #citizenexpress na nahodha @reggaematics . inakushikia wapi?,0,,,,,,,,
"je,,,0,,,,,,
mwanamke apenda sana kusikia mambo na mipango ya siku za usoni ya bwanake....#goodeveningkenya,0,,,,,,,,
"mpango wa @mbinuzaukulima ni hapo baadaye kidogo,,0,,,,,,,
huu mtindo wa kueleka watoto kwa mbeleko mgongoni wa mama ulienda wapi?....#goodeveningkenya,0,,,,,,,,
kilele chetu leo ni sehemu @tushauriane itimiapo saa 9.30pm. usikose...#goodeveningkenya,0,,,,,,,,
awamu ni ya #taratibu ndani ya #driveonreloaded @radiocitizenfm @ogaltina @munaigeneral enjoy #driveonreloaded,0,,,,,,,,
and the ultimate party on saturday in nairobi is at timau bar in mirema drive hosted by @ogaltina @munaigeneral : d… ,0,,,,,,,,
"a new world of children entertainment is here on #viusasakids ,,,,,,,,,
,,,,,,,,,
catch new and exciting kids shows now on @viusasa… ",0,,,,,,,,
awamu ni ya kwanza #driveonreloaded @radiocitizenfm @ogaltina @munaigeneral wkt wa #fumbo #driveonreloaded #driveonreloaded,0,,,,,,,,
"high court throws out hassan omar's petition challenging election of mombasa governor hassan joho,,0,,,,,,,
"mahakama kuu yabatilisha ushindi wa gavana wa embu martin wambora,,0,,,,,,,
rt @firstladykenya: first lady margaret kenyatta launches the kenya girl guides association strategic plan during the celebration of world…,0,,,,,,,,
#np #makossa @modogoabarambwa #driveonreloaded @radiocitizenfm @ogaltina @munaigeneral wkt wa #tabiachwara #driveonreloaded,0,,,,,,,,
"nasa picks aisha jumwa and george khaniri to join ben momanyi in the parliamentary service commission,,0,,,,,,,
there are 18 polling stations where it was claimed ballot papers exceeded the number of registered voters. some cou… ,0,,,,,,,,
awamu ni ya kwanza #driveonreloaded @radiocitizenfm ukiwa na @ogaltina @munaigeneral #driveonreloaded #driveonreloaded,0,,,,,,,,
"a party can't be allowed to plead mid way an issue not initially stated ~ justice william musyoka.,,,,,,,,,
,,,,,,,,,
#wamboravskivuti ",0,,,,,,,,
a court can't give a remedy for an issue that has not been sought or pleaded ~justice william musyoka.… ,0,,,,,,,,
"prayers by kivuti,,,,,,,,,
,,,,,,,,,
- retally of votes,,,,,,,,,
- recount and scrutiny votes in ,,,,,,,,,
  manyatta and runyenjes ,,,,,,,,,
- declaration that… ",0,,,,,,,,
"kumbuka jumamosi hii tuko pamoja,,0,,,,,,,
"rt @ondanyacyrus: @djflashkenya ,,,,,,,,,
,,,,,,,,,
uko juuu sanaaaa,,,,,,,,,
,,,,,,,,,
@radiocitizenfm ,,,,,,,,,
@mzaziwillytuva ,,,,,,,,,
@msetoea,,,,,,,,,
,,,,,,,,,
 #msetotbt,,,,,,,,,
#msetotbt,,,,,,,,,
,,,,,,,,,
kisii tuned",0,,,,,,,,
rt @pascalipaat: #msetotbt namba one officially @mzaziwillytuva @cindypennie1 @peter_murunga1 @djflashkenya ,0,,,,,,,,
rt @shibejohn: @mzaziwillytuva @radiocitizenfm #msetotbt mzazi iyo mixx ya dj flash imeweza,0,,,,,,,,
rt @msetoea: we are live on #msetotbt with the #msetoultimatestar winner @nanamelaninq and the entertainment don john chacha : tune in @rad…,0,,,,,,,,
rt @cindypennie1: mseto on top @mzaziwillytuva @radiocitizenfm #msetotbt drop sinzia nameless&i can't let you go by radio & weasle!!!! ,0,,,,,,,,
rt @arnoldo_ke: #msetotbt trending at number 1 on the number 1radio @radiocitizenfm with @mzaziwillytuva na @djflashkenya ,0,,,,,,,,
"the know-it-all mwalimu kipnai is back and will fight anyone who doesn't agree with his views!,,,,,,,,,
,,,,,,,,,
catch new... ",0,,,,,,,,
as @djflashkenya takes you back into time with the hottest east african oldskool hits on #msetotbt remember tomorro… ,0,,,,,,,,
"rt @ondanyacyrus: @radiocitizenfm @mzaziwillytuva @djflashkenya @emanyikah @nanamelaninq ,,,,,,,,,
,,,,,,,,,
ndanii ya,,,,,,,,,
,,,,,,,,,
#msetotbt,,,,,,,,,
#msetotbt",0,,,,,,,,
rt @ondanyacyrus: @radiocitizenfm #msetotbt,0,,,,,,,,
rt @cindypennie1: tunatrend kwa sanaa @mzaziwillytuva @mwadimepatrick @gilbert07langat @radiocitizenfm @arnoldo_ke #msetotbt @pascal ,0,,,,,,,,
rt @koduorfundi: #msetotbt@willytuva@djflashlistening from  iko juu.big uupp,0,,,,,,,,
"rt @ondanyacyrus: @radiocitizenfm @mzaziwillytuva @djflashkenya @emanyikah @nanamelaninq ,,,,,,,,,
congratulations ,,,,,,,,,
,,,,,,,,,
#msetotbt,,,,,,,,,
#msetotbt",0,,,,,,,,
rt @cindypennie1: @radiocitizenfm imagine nana aliwin ultimatestar na alicol tu kutambulisha ngoma akukam studio its amazing #msetotbt cong…,0,,,,,,,,
