text,label,,,,,
in today's trading session the bond market had bonds worth kshs. 1.9 billion transacted.the @nsekenya 20 share inde… ,1,,,,,
"rt @thetradingbell: the nairobi securities exchange has democratized the buying and selling of bonds in kenya through m-akiba bond. ,,,,,,
@g_odu…",0,,,,,
"rt @nsekenya: the @nsekenya indices registered positive gains as follows,,,,,,
the nse 20 share index added 7.86 points to stand at 3727.33. the…",0,,,,,
"the @nsekenya indices registered positive gains as follows,,,,,,
the nse 20 share index added 7.86 points to stand at 37… ",0,,,,,
the bond market recorded improved activity with bonds worth kshs. 4.3 billion transacted compared to kshs. 2.9 bill… ,1,,,,,
"in today's trading session,,0,,,,
rt @nsekenya: the @nsekenya will be hosting the 7th bafm seminar.the bafm seminar is a capacity building initiative by the  african securit…,0,,,,,
"rt @thetradingbell: bits you missed on the #tradingbell with @aginaaby and @g_odundo,,,,,,
cc. @ktnnews @arimusmedia @nse_invest…",0,,,,,
the @nsekenya will be hosting the 7th bafm seminar.the bafm seminar is a capacity building initiative by the  afric… ,0,,,,,
rt @nsekenya: bonds turnover at the @nsekenya rises by a fifth in january as investors continued to make a strong return to the market. htt…,0,,,,,
"""we believe that m-akiba will inform us on how we can create a national platform even for the equity market"".… ",0,,,,,
"""the m-akiba bond enabled us get get over 300,,1,,,,
rt @thetradingbell: the @nsekenya  has been admitted as a full member of the @thewfe. ~@g_odundo #tradingbell ,0,,,,,
the @nsekenya was ranked  fifth in africa in the african financial markets index by barclays africa. -@g_odundo… ,0,,,,,
"rt @itsawuor: ""there is need for us to pass education down to the basic level. everyone should be made aware of the stock market. we are tr…",0,,,,,
"""there is need for us to pass education down to the basic level. everyone should be made aware of the stock market.… ",0,,,,,
"""the @nsekenya  has been admitted as a full member of the @thewfe and this this is a major milestone for us as a co… ",1,,,,,
the @nsekenya will invest more in public education to raise awareness of already existing products among kenyans.… ,0,,,,,
"rt @thetradingbell: what is in store for the kenyan stock market in 2018? @g_odundo,,0,,,,
rt @itsawuor: .@nsekenya & @ktnnews are on a journey to educate on the capital markets industry through @thetradingbell show. tune in to @k…,0,,,,,
@mwangmuriuki @ktnnews @g_odundo @nse_investors @sokoanalyst @sokodirectory @sokohisa @aginaaby @mwangmuriuki we no… ,0,,,,,
"rt @thetradingbell: starting this friday,,0,,,,
"rt @nsekenya: the @nsekenya premier business television show,,0,,,,
"the @nsekenya premier business television show,,0,,,,
bonds turnover at the @nsekenya rises by a fifth in january as investors continued to make a strong return to the m… ,0,,,,,
rt @traceyiva: turnover at the bourse rises to 760 million shillings on wednesday  #sokonews @nsekenya ,1,,,,,
@felikikanda @sterlingnairobi @franklin_mutua @sokoanalyst @sokohisa @genghiscapital @dyerandblairug hello… ,0,,,,,
"in today's trading session,,,1,,,
rt @nsekenya: ,0,,,,,
,0,,,,,
"in today's trading session,,1,,,,
"rt @aseasecretariat: 7th edition of the building african financial markets (bafm) seminar,,,,,,
do not miss out!,,,,,,
to register,,0,,,,
@salim_garwan @salim_garwan check your inbox.,0,,,,,
the bourse opened the week the with bonds worth kes.3.2 billion   transacted compared to kes.2.9 billion posted on… ,1,,,,,
rt @aseasecretariat: @nsekenya @nsenigeria @bourseofficiel @luxembourgse @khartoumstockex @jse_group @rse_rwanda @ghstockexchange @zse_zim…,0,,,,,
rt @nsekenya: we highly appreciate the vital role the @nsekenya plays in the growth of kenya's economy by helping local and international c…,0,,,,,
"""sustainability is an intergral part of our business. currently 85% of @kengenkenya total generation is from renewa… ",0,,,,,
the @nsekenya 20 share index added 16.83 points to stand at 3746.18. the @nsekenya 25 share index was up 31.72 poin… ,1,,,,,
"in today's trading session,,,1,,,
"in today's trading session,,,1,,,
"""we successfully worked with the @nsekenya during our initial public offer in 2006,,0,,,,
we highly appreciate the vital role the @nsekenya plays in the growth of kenya's economy by helping local and inter… ,0,,,,,
"rt @nsekenya: the @nsekenya ceo,,0,,,,
"rt @richtvafrica: ""if you look at the shareholding structure of utilities,,0,,,,
"the @nsekenya ceo,,0,,,,
"in today's trading session,,1,,,,
"the @nsekenya,,,0,,,
"the @nsekenya,,,0,,,
"rt @aseasecretariat: nairobi,,,,,,
@nsekenya @nsenigeria @bo…",0,,,,,
the @nsekenya ceo- @g_odundo awards the @coopbankenya  bank kenya team  after they emerged winners in case study- b… ,0,,,,,
"the theme for the catalyst awards this year is 'recognising catalytic finance that impacts industry,,0,,,,
the #catalystawards2017  seeks to honour institutions that have embedded the industry's  sustainable finance guidin… ,0,,,,,
"the ceo @dtbkenya,,0,,,,
"@dtbkenya ceo,,0,,,,
we wish to applaud institutions that are taking key steps in improving sustainability.-@habilolaka @kenyabankers… ,0,,,,,
rt @irlembkenya: excellent meeting with geoffrey odundo & his colleagues @nsekenya to discuss irish trade and business growth with kenya an…,0,,,,,
"rt @nsekenya: as you come up with your new year resolutions,,0,,,,
"rt @nsekenya: @stanlib the @nsekenya real estate investment trust market segment was launched,,,,,,
in october 22,,,,0,,
"rt @nsekenya: the @nsekenya ceo,,0,,,,
"the @nsekenya ceo,,0,,,,
the @nsekenya will be hosting the 7th building african financial markets(bafm) seminar in 2018. registration for th… ,0,,,,,
rt @nsekenya: in 2011 we changed our name from nairobi stock exchange to nairobi securities exchange to reflect our growing role as a platf…,0,,,,,
in 2011 we changed our name from nairobi stock exchange to nairobi securities exchange to reflect our growing role… ,0,,,,,
the @nsekenya 20 share index gained 9.53 points to stand at 3737.27.the  bond market had bonds worth kshs. 2 billio… ,1,,,,,
"rt @aseasecretariat: adaptive innovation as a lever for growth and sustainable development,,,,,,
of african financial markets #7thbafmseminar",0,,,,,
rt @nsekenya: did you know that in 1922 an informal exchange was launched in the exchange bar at the stanley hotel in nairobi? trading took…,0,,,,,
did you know that in 1922 an informal exchange was launched in the exchange bar at the stanley hotel in nairobi? tr… ,0,,,,,
rt @nsekenya: in today's trading session the @nsekenya bond market was upbeat with bonds worth kshs. 3.9 billion transcated while equities…,1,,,,,
in today's trading session the @nsekenya bond market was upbeat with bonds worth kshs. 3.9 billion transcated while… ,1,,,,,
rt @nsekenya: get a glimpse of how the market perfomed in today's trading session. for more information on market perfomance visit our webs…,0,,,,,
"rt @nsekenya: ""exchanges will have to deal with government policy,,0,,,,
get a glimpse of how the market perfomed in today's trading session. for more information on market perfomance visi… ,0,,,,,
"""exchanges will have to deal with government policy,,0,,,,
"rt @nsekenya: in today's trading session,,,,1,,
"in today's trading session,,,,1,,
rt @gweth_: this is great @sydwechuli ,0,,,,,
"rt @nsekenya: the @nsekenya ceo,,0,,,,
"the @nsekenya ceo,,0,,,,
the @nsekenya bond market recorded improved activity with bonds worth kes.4.5bn transacted compared to kes.1.7bn re… ,1,,,,,
in today's trading session equities turnover rose to kshs. 1billion from the the previous sessions kshs. 552 millio… ,1,,,,,
rt @nsekenya: the @nsekenya endeavors to develop and conduct financial literacy programs for the youth to inculcate a savings and investmen…,0,,,,,
rt @nsekenya: registration for the forthcoming seventh building african financial markets seminar is now open. follow the link to register…,0,,,,,
registration for the forthcoming seventh building african financial markets seminar is now open. follow the link to… ,0,,,,,
@eddymurega @tonymurega @kenyafinomics @danielmaithyake @eddymurega thank you for reaching out. we shall look into… ,0,,,,,
"in today's trading session,,1,,,,
"boosted by the sale of @kcbgroup & @safaricomltd shares,,1,,,,
"rt @nsekenya: in today's trading session,,1,,,,
@nutcrackerke @safaricomltd @nse_investors @sokodirectory @sokoanalyst @sokohisa @sterlingnairobi @g_odundo… ,0,,,,,
"in today's trading session,,1,,,,
the @nsekenya endeavors to develop and conduct financial literacy programs for the youth to inculcate a savings and… ,0,,,,,
"the @nsekenya opened the week with a total of 15.9 million shares valued at kes. 394 million,,1,,,,
rt @nsekenya: register for the forthcoming a-z of the stock market  and its products training. the @nsekenya aims at equipping participants…,0,,,,,
register for the forthcoming a-z of the stock market  and its products training. the @nsekenya aims at equipping pa… ,0,,,,,
"in today's trading session,,1,,,,
"rt @nsekenya: with our diverse range of investment products,,0,,,,
"in today's trading session,,1,,,,
rt @nsekenya: a-z of the stock market and its products training. the training aims at equipping participants with critical stock market ski…,0,,,,,
