text,label,,,,,,,
"rt @standardkenya: exclusive: louis otieno,,,,,,,,
,,,,,,,,
#louisotienostory ",0,,,,,,,
"rt @__naomy: #ktnlifeandstyle,,,,,,,,
#ankarabychimzy,,,,,,,,
the song by black heart is gimme love",0,,,,,,,
"rt @ismaelnewts: give me love ,,,,,,,,
#ktnlifeandstyle #feelgoodfriday @ktnkenya @ktnlife_style #ankarabychimzy,,,,,,,,
@shaniqwa_ktn @my_mwikali",0,,,,,,,
rt @cashphin: #ktnlifeandstyle the song is give me love by black heart #ankarabyxhimzy,0,,,,,,,
rt @shilakned: @my_mwikali black heart launched gimme love on #ktnlifeandstyle #ankarabychimzy are beautiful pieces.,0,,,,,,,
rt @isaacoyombe: vocals by black heart so 👌👌👌#ktnlifeandstyle #feelgoodfriday ,0,,,,,,,
"rt @terence254: #ktnlifeandstyle,,,,,,,,
give me love ,,,,,,,,
#ktnlifeandstyle #feelgoodfriday @ktnkenya @ktnlife_style #ankarabychimzy",0,,,,,,,
rt @crystalokusa: chimzy on #fashionforward all ankara and colourful #ktnlifeandstyle,0,,,,,,,
"rt @njagiaustine: @ktnlife_style @my_mwikali @shaniqwa_ktn black heart laughed a song ""give me love"",,,,,,,,
#ktnlifeandstyle #ankarabychimzy",0,,,,,,,
"what song did black heart launch this #feelgoodfriday ,,,,,,,,
stand a chance to walk away with a voucher worth ksh 4500 by… ",0,,,,,,,
ankara by chimzy on #fashionforward this #feelgoodfriday on #ktnlifeandstyle ,0,,,,,,,
"rt @njihia_kigo: #africanmumchallenge,,,,,,,,
how the congregation looks at my mum when she starts singing yet she was asked only to pray. ",0,,,,,,,
"rt @xtiandela: *calls home on a friday evening*,,,,,,,,
me: hi mum,,,0,,,,,
"rt @danmwangi_254: the first reaction i got from her after i told her that i want to be a dj... 😂😂😂,,,,,,,,
,,,,,,,,
mum: endelea tu kutafuta ukimwi!!! #af…",0,,,,,,,
"rt @arnoldwangs: after preparing food,,,,,,,,
,,,,,,,,
you…",0,,,,,,,
ankara by chimzy on #feelgoodfriday #ktnlifeandstyle talking about her gorgeous designs..tune in ,0,,,,,,,
"rt @ktnnews: in case you missed #louisotienostory ,,,,,,,,
""i literally live in a cave,,0,,,,,,
what a breath of fresh air on #feelgoodfriday #ktnlifeandstyle she is black heart ,0,,,,,,,
rt @ktnlife_style: stay tuned! counting down to 8:00am on #ktnlifeandstyle for your #feelgoodfriday vibes 💃💃 ,0,,,,,,,
rt @ktnlife_style: we are live team #ktnlifeandstyle. stay tuned for an amazing show coming up on #feelgoodfriday with @shaniqwa_ktn and @m…,0,,,,,,,
rt @ktnlife_style: #ktnlifeandstyle #feelgoodfriday ,0,,,,,,,
rt @isaacoyombe: # it's #feelgoodfriday #ktnlifeandstyle ,0,,,,,,,
rt @beckynyambu1: #ktnlifeandstyle niko locked aki shaniqwa wewe😂😂😂,0,,,,,,,
rt @tsuma_brian: black heart ndani ya nyumba #feelgoodfriday #ktnlifeandstyle melanin things ,0,,,,,,,
rt @nereahericah: those amazing vocals are by black heart! watch out for this rising star..you saw her on #feelgoodfriday #ktnlifeandstyle…,0,,,,,,,
rt @ktnlife_style: black heart is launching her new song only on #ktnlifeandstyle #feelgoodfriday ,0,,,,,,,
rt @ktnlife_style: live on #ktnlifeandstyle #feelgoodfriday ,0,,,,,,,
"rt @ktnnews: ""in 2022 if nasa counties are doing better than jubilee counties you can  bet your top dollar that jubilee supporters will vot…",0,,,,,,,
rt @ismaelnewts: and it's almost time for #feelgoodfriday on #ktnlifeandstyle @ktnkenya @ktnlife_style hosted by @my_mwikali @shaniqwa_ktn,0,,,,,,,
rt @cjatemo: friday on #ktnlifeandstyle is #feelgoodfriday @ktnkenya,0,,,,,,,
"rt @ismaelnewts: @my_mwikali leo uko na energy i just saw you dance ,,,,,,,,
#feelgoodfriday #ktnlifeandstyle @ktnkenya @ktnlife_style ..,,,,,,,,
good morn…",0,,,,,,,
"rt @ismaelnewts: @shaniqwa_ktn haujaweza  👎👎👎👎👎,,,,,,,,
remember sisi ni county 001 #ktnlifeandstyle #feelgoodfriday @ktnkenya @ktnlife_style",0,,,,,,,
rt @tsuma_brian: @shaniqwa_ktn zero hiyo ya #001 haiko...mwanangu hutoingia mkoa wa pwani #ktnlifeandstyle #feelgoodfriday @ktnkenya ,0,,,,,,,
rt @fiona_moraa: morning @my_mwikali and @shaniqwa_ktn y'all looking fabulous 😍💕❤️🍒🔥 @ktnlife_style @ktnkenya #ktnlifeandstyle #feelgoodfri…,0,,,,,,,
"rt @ismaelnewts: black heart.. ,,,,,,,,
come love me more and more ,,,,,,,,
#ktnlifeandstyle #feelgoodfriday @ktnkenya @ktnlife_style @shaniqwa_ktn @my_mwi…",0,,,,,,,
those amazing vocals are by black heart! watch out for this rising star..you saw her on #feelgoodfriday… ,0,,,,,,,
"rt @ktnnews: has the high public debt turned kenya into a hand to mouth state?,,,,,,,,
@yussufibra @ktnnews @malutimusau ,,,,,,,,
#ktnnewscentre",0,,,,,,,
"rt @ktnnews: ""even if the ordinary kenyan is not a lawyer,,0,,,,,,
"the rise of raila odinga from ndp to nasa part two,,,,,,,,
 ",0,,,,,,,
"rt @ktnnews: ""we need to get to a point where when we elect a leader,,0,,,,,,
rt @joash_tush: @ktnlife_style good morning #feelgoodfriday is here.weekend is here.lit show 🔥 🔥 🔥eagerly waiting #ktnlifeandstyle @my_mwik…,0,,,,,,,
rt @ktnlife_style: this #inspirationmonday from 7am on #ktnlifeandstyle #booksnblogs @vomwocha @cathmwangi @isaacoyombe @nereahericah @dala…,0,,,,,,,
"missed out on the chamwada report,,,,,,,,
@alexchamwada… ",0,,,,,,,
"#feelgoodfriday is live from 8am on @ktnlife_style #ktnlifeandstyle ,,,,,,,,
see you soon! ",0,,,,,,,
let's review the week that saw two governors lose their seats and mombasa governor hassan joho survive a petition a… ,0,,,,,,,
kenyan football stars flaunt their expensive cars...  via @gameyetu ,0,,,,,,,
rt @ktnnews: the international monetary fund has warned that kenya is drifting towards debt crisis if the government's appetite for new loa…,0,,,,,,,
"the rise of raila odinga part one,,,,,,,,
 ",0,,,,,,,
join @michaelggitonga on #morningexpressktn on @ktnkenya @ktnkenya as he takes you through the latest news making h… ,0,,,,,,,
"rt @jacobzucks: #africanmumchallenge,,,,,,,,
mum: respond to what i am asking you but don't talk back me. ",0,,,,,,,
"rt @jnganga6: #africanmumchallenge,,,,,,,,
me:has not arrived home on time,,,,,,,,
her:saa hii ni saa ngapi 😤 na uko wapi?  ,,,,,,,,
me:ni saa moja…",0,,,,,,,
"rt @_mutheu_: mom takes us to a wedding,,0,,,,,,
"rt @nziokal: #africanmumchallenge,,,,,,,,
mum: alex,,,,,,,,
me:    yes mum,,,,,,,,
mum: 'no responce',,,,,,,,
,,,,,,,,
(after 1 hr),,,,,,,,
mum: sinilikuita ukachote maji one hour ago iko…",0,,,,,,,
"johnston muthama is back with strong nasa message ,,,,,,,,
 ",0,,,,,,,
"#feelgoodfriday is all about great music,,,0,,,,,
"cs tobiko: i want to be better than matiang'i ,,,,,,,,
 ",0,,,,,,,
"it's going to be a #feelgoodfriday like no other on @ktnlife_style ,,,,,,,,
tune in 8am,,,,,,,,
#ktnlifeandstyle ",0,,,,,,,
"latest nhif scam! how kenyans may have lost ksh400 million,,,,,,,,
 ",0,,,,,,,
"revealed,,,,,,,,
 ",0,,,,,,,
"good news to governor joho,,,,,,,,
 ",0,,,,,,,
"governor joho slams hassan omar after court win,,,,,,,,
 ",0,,,,,,,
"kenya records slight improvement,,,,,,,,
 ",0,,,,,,,
"mps question quality of food,,,,,,,,
 ",0,,,,,,,
,0,,,,,,,
"rt @ktnnews: tonight our medical correspondent dr mercy korir,,0,,,,,,
"kenya’s latest ranking in global corruption index ,,,,,,,,
 ",0,,,,,,,
"rt @ktnkenya: the rise of raila odinga from ndp to nasa part two,,,,,,,,
 ",0,,,,,,,
"rt @ktnnews: the rise of raila odinga from ndp to nasa part two,,,,,,,,
 ",0,,,,,,,
"the rise of raila odinga from ndp to nasa part two,,,,,,,,
 ",0,,,,,,,
rt @ktnnews: nigeria's president muhammadu buhari is sending a delegation of ministers to north east nigeria on a fact-finding mission foll…,0,,,,,,,
rt @ktnnews: anti corruption watchdog transparency international has ranked the public sectors in sub saharan africa as the most corrupt in…,0,,,,,,,
"three children die after fire gut down their house in kariobangi,,,,,,,,
 ",0,,,,,,,
"the rise of raila odinga part one,,,,,,,,
 ",0,,,,,,,
east africa portland cement companyto sell its products directly to walk-in customers:   ,0,,,,,,,
"colour in the garden ,,,,,,,,
 ",0,,,,,,,
joho’s win in court sent supporters into celebration across mombasa  ,0,,,,,,,
"rt @ktnnews: do you think african governments have created an enabling environment to grow the film industry?,,,,,,,,
  @yussufibra,,,,,,,,
  #bottomlineaf…",0,,,,,,,
"former president moi mourns billy graham ,,,,,,,,
 ",0,,,,,,,
tune in to @ktnnews to watch #untoldstory for the most insightful insights on the 2007 election with @duncankhaemba ,0,,,,,,,
for 2 months nairobi serena hotel became a centre of attraction where the talks on national accord were led. the ne… ,0,,,,,,,
"rt @chamwada_report: ""this is the baptismal site in river jordan and every year you will find christian pilgrims coming to this particular…",0,,,,,,,
#acrossholycities ,0,,,,,,,
"what governor joho said after court win,,,,,,,,
 ",0,,,,,,,
meet the karate grandmothers of kenya's korogocho slum...  via @gameyetu ,0,,,,,,,
#acrossholycities ,0,,,,,,,
#acrossholycities ,0,,,,,,,
a sneak peak of the chamwada report tonight at 8.30 only on @ktnnews with @alexchamwada & @itselijahmwangi… ,0,,,,,,,
"traders count loses as kenha demolishes structures,,,,,,,,
 ",0,,,,,,,
"tune in to @ktnnews at 8.30 ,,,,,,,,
#acrossholycities ",0,,,,,,,
"tune in to @ktnnews at 8.30 ,,,,,,,,
#acrossholycities ",0,,,,,,,
a sneak peak of the chamwada report tonight at 8.30 only on @ktnnews with @alexchamwada & @itselijahmwangi… ,0,,,,,,,
"tobiko: give me police force,,,,,,,,
 ",0,,,,,,,
"nigeria rescues 76 schoolgirls after boko haram attack,,,,,,,,
 ",0,,,,,,,
rt @ktnlife_style: tomorrow on #ktnlifeandstyle #feelgoodfriday #fashionforward..tune in from 8am ,0,,,,,,,
"martin wambora amepoteza kiti chake kama gavana wa embu,,0,,,,,,
"tough talking cs tobiko wants to emulate fred matiang’i ,,,,,,,,
 ",0,,,,,,,
"katani,,,,,,,,
 ",0,,,,,,,
"johnston muthama is back with strong nasa message ,,,,,,,,
 ",0,,,,,,,
"nullification wave hits embu governor martin wambora,,,,,,,,
 ",0,,,,,,,
"rt @ktnnews: cs keriako tobiko’s strong warning to saw millers ,,,,,,,,
 ",0,,,,,,,
father takes his own life after failing to kill his children  ,0,,,,,,,
"rt @ktnnews: unadhani serikali imefanya juhuzi za kutosha kupambana na ugaidi? ,,,,,,,,
#jukwaalaktn ,,,,,,,,
@ali_manzu",0,,,,,,,
"rt @ktnnews: this is latest nhif requirement for the married ,,,,,,,,
 ",0,,,,,,,
kenyan football stars flaunt their expensive cars...  via @gameyetu ,0,,,,,,,
"ig joseph boinnet sued over police transfer ,,,,,,,,
 ",0,,,,,,,
"are you committed to creating social,,0,,,,,,
a member who leaves the service of the sponsor through resignation or dismissal before statutory retirement age is… ,0,,,,,,,
"revealed,,,,,,,,
 ",0,,,,,,,
"louis otieno,,,,,,,,
 ",0,,,,,,,
the fear and emotional history in gor mahia versus esperance matches…  via@gameyetu… ,0,,,,,,,
"tsc urges teachers to pursue higher academic qualifications ,,,,,,,,
 ",0,,,,,,,
"government raises sh200 billion eurobond ,,,,,,,,
 ",0,,,,,,,
"kenya’s latest ranking in global corruption index ,,,,,,,,
 ",0,,,,,,,
"good news to governor joho,,,,,,,,
 ",0,,,,,,,
"why foreigners are buying luxury homes in kenya ,,,,,,,,
 ",0,,,,,,,
"this is why jubilee governor’s election win has been nullified,,,,,,,,
 ",0,,,,,,,
man united already seeing worrying version of alexis sanchez that made arsenal to sell him…  ,0,,,,,,,
"je,,0,,,,,,
"breaking news: court nullifies governor martin wambora’s election win,,,,,,,,
 ",0,,,,,,,
rt @farnell_mtey: #africanmumchallenge when she sees you eating with the guests 😂😂 ,0,,,,,,,
"rt @ktnnews: breaking news: the high court has nullified embu governor martin wambora's election following lenny kivuti's petition.,,,,,,,,
more de…",0,,,,,,,
jose mourinho has a question for three manchester united legends over ‘style of play’ comments…… ,0,,,,,,,
rt @ktnnews: listed retailer uchumi supermarket has posted an 895.1 million shilling net loss in its half year financial results for the pe…,0,,,,,,,
rt @ktnnews: ktb is slated to participate in the pearl of africa travel expo which has been organized by the ugandan tourism board. the exp…,0,,,,,,,
rt @ktnnews: the kenya tourism board (ktb) has stepped up its engagement with the ugandan travel market in a strategy that seeks to make ke…,0,,,,,,,
rt @ktnnews: nhif has been ordered to recover the money from the companies after it emerged that there were massive irregularities in the a…,0,,,,,,,
rt @ktnnews: the public procurement regulatory authority has opened investigations into a contract awarding saga at the nhif that could see…,0,,,,,,,
"rt @ktnnews: let's have a look at the nse performance:,,,,,,,,
1. most active stock,,,,,,,,
2. winning stock,,,,,,,,
3. losing stock,,,,,,,,
@ashleymazuri,,,,,,,,
#ktnbusiness htt…",0,,,,,,,
"why woman want men out of delivery rooms,,,,,,,,
 ",0,,,,,,,
"rt @ktnnews: here's how the kenya shilling is faring against the major world currencies,,,,,,,,
@ashleymazuri ,,,,,,,,
#ktnbusiness ",0,,,,,,,
rt @ktnnews: welcome to #ktnbusiness on @ktnnews with @ashleymazuri where we give you briefing on the latest news and trends in the world o…,0,,,,,,,
"rt @ktnnews: #africanmumchallenge mum explains why she said no to range rover gift from her son,,,,,,,,
@zindzi_k ",0,,,,,,,
"sad! pupils in a baringo school learn under trees,,,,,,,,
 ",0,,,,,,,
eden hazard tells conte where his best position is after playing 'false nine' against barcelona…… ,0,,,,,,,
"rt @ktnnews: ""i'm from a life where i had two phones ringing 24/7,,,0,,,,,
ig boinnet sued over police transfer  ,0,,,,,,,
the lions are back and more hungry than ever. are you an ambitious entrepreneur? do you have the confidence to face… ,0,,,,,,,
rt @ktnnews: don't fail to catch 'louis otieno's story' tonight at 9pm with dr. mercy korir ,0,,,,,,,
rt @ktnnews: kenyans online react to the new nhif measure that states that you will now be required to produce proof of marriage before the…,0,,,,,,,
"why police battled with angry traders in kongowea,,,,,,,,
 ",0,,,,,,,
"rt @ktnnews: environment cabinet secretary keriako tobiko has warned saw millers  against  logging beyond their licensed permits,,0,,,,,,
rt @ktnnews: in a surprise move that was condemned by the opposition. duale named borabu mp ben momanyi of wiper party as a nominee to the…,0,,,,,,,
"woman accused of stealing baby at knh arraigned in court ,,,,,,,,
 ",0,,,,,,,
rt @ktnnews: the leader of the majority in the national assembly aden duale has shut down the opposition's plan to nominate makueni senator…,0,,,,,,,
"he's angry!,,,,,,,,
,,,,,,,,
“it was like a morgue,,0,,,,,,
rt @georgejilani: still wouldn’t trade my african mama for anything else. thank you mama! #africanmumchallenge ,0,,,,,,,
"rt @fakerdeep: #africanmumchallenge ,,,,,,,,
,,,,,,,,
pastor:,,,,,,,,
,,,,,,,,
spare the rod... spoil the child,,,,,,,,
,,,,,,,,
african mothers: ",0,,,,,,,
rt @jimnah_jimnah: you will always find this in an african home #africanmumchallenge ,0,,,,,,,
"rt @ktnnews: the index which ranks countries on a scale of zero,,,0,,,,,
the annual corruption perceptions index released by the transparency international has ranked kenya number 143 out… ,0,,,,,,,
"rt @ktnnews: ""we were not given notice...we have no one to help us "" traders react to demolition of their kiosks and other structures by th…",0,,,,,,,
"why court nullified lamu west mp win,,,,,,,,
 ",0,,,,,,,
rt @ktnnews: latest updates on the demolition of kiosks and other structures by kenya national highways authority (kenha) at the kongowea m…,0,,,,,,,
for the latest news this hour join @akisawandera on #ktnnewsdesk on @ktnnews @ktnkenya . join in on the conversatio… ,0,,,,,,,
"rt @ktnnews: mtazamaji leo kwenye vijimambo tunaangazia ubunifu wa waafrika ,,,,,,,,
@loftymatambo ,,,,,,,,
#leomashinani ",0,,,,,,,
"latest nhif scam! how kenyans may have lost ksh400 million,,,,,,,,
 ",0,,,,,,,
