text,label,,,
rt @ktnnews: welcome to #ktnnewscenter your trusted source for the latest and breaking news. join @yussufibra as he takes you through the l…,0,,,
"exclusive: louis otieno,,,,
,,,,
#louisotienostory ",0,,,
interesting things kenyans said after governor wambora lost his seat  via @ureportke ,0,,,
"rt @ktnnews: in case you missed #louisotienostory ,,,,
""i literally live in a cave,,0,,
"rt @ktnnews: ""in 2022 if nasa counties are doing better than jubilee counties you can  bet your top dollar that jubilee supporters will vot…",0,,,
"rt @ktnnews: has the high public debt turned kenya into a hand to mouth state?,,,,
@yussufibra @ktnnews @malutimusau ,,,,
#ktnnewscentre",0,,,
"of kindiki,,0,,
"missed out on the chamwada report,,,,
@alexchamwada… ",0,,,
"rt @ktnnews: ""even if the ordinary kenyan is not a lawyer,,0,,
"the rise of raila odinga from ndp to nasa part two,,,,
 ",0,,,
"david de gea could have stopped the titanic from sinking -via @ureportke,,,,
 ",0,,,
"rt @ktnnews: ""we need to get to a point where when we elect a leader,,0,,
rt @ktnkenya: let's review the week that saw two governors lose their seats and mombasa governor hassan joho survive a petition against his…,0,,,
rt @ktnnews: the international monetary fund has warned that kenya is drifting towards debt crisis if the government's appetite for new loa…,0,,,
"the rise of raila odinga part one,,,,
 ",0,,,
rt @ktnkenya: join @michaelggitonga on #morningexpressktn on @ktnkenya @ktnkenya as he takes you through the latest news making headlines t…,0,,,
"rt @jnganga6: #africanmumchallenge,,,,
me:has not arrived home on time,,,,
her:saa hii ni saa ngapi 😤 na uko wapi?  ,,,,
me:ni saa moja…",0,,,
"rt @jacobzucks: #africanmumchallenge,,,,
mum: respond to what i am asking you but don't talk back me. ",0,,,
"johnston muthama is back with strong nasa message ,,,,
 ",0,,,
"miguna miguna releases dates for nrm global recruitment tour -,,,,
 via @ureportke,,,,
 ",0,,,
"cs tobiko: i want to be better than matiang'i ,,,,
 ",0,,,
"latest nhif scam! how kenyans may have lost ksh400 million,,,,
 ",0,,,
"‘i don’t want to divorce’ – what is chelsea’s antonio conte talking about? -via @ureportke,,,,
 ",0,,,
"revealed,,,,
 ",0,,,
"good news to governor joho,,,,
 ",0,,,
"how to conceive a baby boy scientifically -via @ureportke,,,,
 ",0,,,
"governor joho slams hassan omar after court win,,,,
 ",0,,,
"kenya records slight improvement,,,,
 ",0,,,
"mps question quality of food,,,,
 ",0,,,
,0,,,
,0,,,
"how to conceive a baby boy scientifically -via @ureportke,,,,
 ",0,,,
"rt @ktnnews: tonight our medical correspondent dr mercy korir,,0,,
"kenya’s latest ranking in global corruption index ,,,,
 ",0,,,
man united already seeing worrying version of alexis sanchez that made arsenal to sell him…  ,0,,,
"op: miguna’s outbursts portray a man on a selfish mission -via @ureportke,,,,
 ",0,,,
"rt @ktnnews: the rise of raila odinga from ndp to nasa part two,,,,
 ",0,,,
"rt @ktnkenya: the rise of raila odinga from ndp to nasa part two,,,,
 ",0,,,
"the rise of raila odinga from ndp to nasa part two,,,,
 ",0,,,
rt @ktnnews: anti corruption watchdog transparency international has ranked the public sectors in sub saharan africa as the most corrupt in…,0,,,
"three children die after fire gut down their house in kariobangi,,,,
 ",0,,,
"the rise of raila odinga part one,,,,
 ",0,,,
"i shoplifted perfumes in a particular supermarket- dennis itumbi admits - via @ureportke,,,,
  ",0,,,
east africa portland cement companyto sell its products directly to walk-in customers:   ,0,,,
"colour in the garden ,,,,
 ",0,,,
joho’s win in court sent supporters into celebration across mombasa  ,0,,,
"rt @ktnnews: do you think african governments have created an enabling environment to grow the film industry?,,,,
  @yussufibra,,,,
  #bottomlineaf…",0,,,
"former president moi mourns billy graham ,,,,
 ",0,,,
for 2 months nairobi serena hotel became a centre of attraction where the talks on national accord were led. the ne… ,0,,,
"what governor joho said after court win,,,,
 ",0,,,
meet the karate grandmothers of kenya's korogocho slum...  via @gameyetu ,0,,,
"traders count loses as kenha demolishes structures,,,,
 ",0,,,
a sneak peak of the chamwada report tonight at 8.30 only on @ktnnews with @alexchamwada & @itselijahmwangi… ,0,,,
kenyans visiting cana of galilee celebrate marriage at the sanctuary to commemorate the wedding that was when jesus… ,0,,,
"tobiko: give me police force,,,,
 ",0,,,
