text,label,,
"nigeria to sell assets seized in anti-graft probes to boost treasury,1,1,
"w. africa crude-angolan exports to slip,-1,-1,
pope backs down after defending nigerian bishop rejected by locals  ,0,,
update 1-january compliance with oil reduction pact 133 pct -opec's barkindo  ,0,,
rt @alertnet: death toll from listeria outbreak in south africa more than doubles to 172  ,0,,
zambia's finmin says to continue engaging imf on debt management ,-1,,
#southafrica budget casts hopeful light on moody's review ,1,,
death toll from listeria outbreak in south africa more than doubles to 172 ,1,,
death toll from #mozambique summer rains reaches 50 ,1,,
rt @alertnet: therapy dogs heal traumatised survivors of brutal #uganda|n war  ,1,,
"#ethiopia releases 1,,1,
ratings agencies applaud south africa's budget: treasury ,1,,
south africa's had no option but to increase vat rate -  gigaba ,0,,
two french soldiers killed in mali attack: elysee ,0,,
south africa court finds finance minister violated constitution ,0,,
#switzerland imposes sanctions on allies of #congo's kabila ,0,,
nigeria to announce refinery investors in coming month -oil minister  ,0,,
african markets - factors to watch on feb. 19  ,0,,
diary-emerging markets economic events to march 29  ,0,,
nigeria releases 475 boko haram suspects for rehabilitation  ,0,,
"behind walls of his mansion,,0,
"more than 90 nigerian schoolgirls missing after boko haram attack: sources #nigeria ,,,
 ",0,,
south africa to raise vat for first time in 25 years to plug budget hole ,0,,
nigerian state oil firm spent $5.8 bln on fuel imports since late 2017 ,1,,
congo's kabila replaces interior minister amid declining security ,0,,
south africa's parliament to launch inquiry into mines minister zwane ,0,,
u.s. sanctions burkina faso-based group over terrorism threat ,0,,
#congo refugees in #rwanda say soldiers shoot and wound at least two during food protest ,0,,
gunmen kill five police in attack on south african police station ,0,,
south africa's ramaphosa to screen officials' lifestyles as he picks government ,0,,
"clinging to tree tops,,0,
south african rights group challenges zuma rule on influence-peddling inquiry ,0,,
olympics-quotes from the pyeongchang winter games on day nine  ,0,,
three suicide bombers killed 18 people and injured 22 others in northeast nigerian city of maiduguri late on friday… ,0,,
nigerian cinema fans celebrate 'black panther' release  ,0,,
"al qaeda operative gets life sentence for killing soldiers,,0,
#southafrica's ramaphosa to screen officials' lifestyles as he picks government #sonareply ,0,,
"rt @alertnet: more newborns dying in west and central africa as world ""fails poorest babies""  @unicef ",0,,
rt @alertnet: award-winning uk film on witch-hunts in zambia hoped to curb attacks on women  #bafta ,0,,
"south africa's drought-stricken cape town pushes back ""day zero"" to july 9 ",0,,
#imf stopped #kenya's access to $1.5 bln standby credit after review delay ,1,,
south african minister orders transnet to report irregularities over locomotive contract ,0,,
south african deputy finance minister says budget will be presented by gigaba ,0,,
kenya prevents two opposition activists from travelling abroad ,0,,
#kenya prevents two opposition activists from travelling abroad ,0,,
#nigeria convicts 205 boko haram suspects in mass trials ,0,,
thousands in zimbabwe bid farewell to 'people's general' tsvangirai ,0,,
"south african budget to set out ""tough"" measures to repair post-zuma economy ",0,,
pope backs down after defending nigerian bishop rejected by locals #nigeria ,0,,
investors watching closely as #southafrica's ramaphosa considers cabinet line-up ,0,,
at least 18 killed in clash in northwest nigeria-police  ,0,,
italy - factors to watch on feb. 16  ,0,,
diary-emerging markets economic events to march 29  ,0,,
