text,label,,,
"rt @africa_pe_news: genafrica asset managers attracts kuramo as a new investor @genafricaam #kuramo|| to read article,,1,,
ground-breaking new course to strengthen local leadership in the hospitality industry [press office]… ,1,,,
from the archives: resource-rich malawi holds investment rewards  @dhlafrica ,1,,,
from the archives: the township entrepreneur who built his spinach empire with less than $3  ,1,,,
newsletter: kenyan shares advice on building a thriving tech company talking business with ceo of senegal’s larges… ,1,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
in case you missed it: “the diversity of input into a decision materially increases the quality of the decision.” –… ,0,,,
from the archives: islamic finance could be the answer to africa's growth problems  via… ,1,,,
from the archives: africa's greatest economic opportunity – trading with itself  via… ,0,,,
"from the archives: improvise with what you have,,1,,
"from the archives: johannesburg’s inner city – the dubai of southern africa,,0,,
from the archives: sky is the limit for roofing entrepreneur irene wanjiku  via… ,0,,,
restructuring the telecoms industry to achieve rapid broadband roll-out  @rmb_cib [press off… ,1,,,
in case you missed it: cross-border e-commerce a significant growth opportunity for african companies… ,1,,,
in case you missed it: kenyan businesswoman shares advice on building a thriving tech company… ,1,,,
newsletter: kenyan shares advice on building a thriving tech company talking business with ceo of senegal’s larges… ,1,,,
"from the archives: ""i’ve learned that companies die when the entrepreneurs give up,-1,-1,,
from the archives: industry 4.0 – is africa ready for the march of the robots?  via… ,-1,,,
from the archives: private equity – a return of investor confidence and greater deal flow expected in 2018… ,1,,,
"from the archives: agriculture doesn't have to be a poor people's game,,1,,
from the archives: 'pay-as-you-cook' energy solution hopes to appeal to rural africa  via… ,0,,,
from the archives: what it's like to be a small business in nigeria  via @madeitinafrica ,0,,,
in case you missed it: the richest woman in south africa shares her career journey  via… ,1,,,
newsletter: kenyan shares advice on building a thriving tech company talking business with ceo of senegal’s larges… ,1,,,
"from the archives: ""if you can pay your day-to-day life,,,1,
from the archives: what needs to be done to give africa’s smallholder farmers access to machinery… ,1,,,
from the archives: ben leo – the overlooked potential of rural spaces and consumers  via… ,1,,,
from the archives: winging it – the man behind nairobi's first chicken wings only fast-food joint… ,1,,,
from the archives: rethinking capitalism in africa  via @madeitinafrica ,1,,,
from the archives: entrepreneur quits nike job to start food business in rwanda  via… ,1,,,
"rt @africa_pe_news: rwanda innovation fund project to receive $30m loan from african development bank @afdb_group || to read article,,1,,
from the archives: talking business – examining guinea's business environment  @dhlafrica ,0,,,
ghanaian entrepreneur finds success by growing and selling coconuts  via @madeitinafrica ,1,,,
newsletter: kenyan shares advice on building a thriving tech company talking business with ceo of senegal’s larges… ,1,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
"“the diversity of input into a decision materially increases the quality of the decision.” – nadayar enegesi,,1,,
from the archives: six of the world's 41 megacities will be in africa by 2030  via… ,1,,,
caroline kende-robb: these are the eight reasons why 2018 could be africa's year  via… ,0,,,
