text,label,,,,,,,,,,,0
senate uncovers 'unapproved' u.s.$100 million loan:  #nigeria #loan ,,,,,,,,,,,,0
pro-biafra groups seek restructuring on 1963 constitution:  #nigeria #biafra ,,,,,,,,,,,,0
are authorities withholding information on missing schoolgirls?:  #nigeria #yobe ,,,,,,,,,,,,0
"oil sector needs u.s.$100bn investments, says kachikwu:  #nigeria ",,,,,,,,,,,,0
buhari assents to law extending abuja's 2017 budget:  #nigeria #buhari #budget2017 ,,,,,,,,,,,,0
"college students in violent protest - burn clinic, eight vehicles:  #nigeria ",,,,,,,,,,,,0
"the many twists, turns fuelling confusion in 9mobile sale:  #nigeria #9mobile ",,,,,,,,,,,,0
how #therapydogs help heal survivors of brutal war:  #uganda ,,,,,,,,,,,,0
nigerian govt detains more southern cameroonian separatists:  #nigeria #ambazonia #cameroon ,,,,,,,,,,,,0
parents wept as rescue of dapchi schoolgirls turned false:  #nigeria #yobe ,,,,,,,,,,,,0
"rwanda, zambia boost bilateral ties:  #zambia ",,,,,,,,,,,,0
"wafu women's cup - cote d'ivoire - mali, nigeria - ghana for semis:  #africa ",,,,,,,,,,,,0
home affairs visits offices of embattled tv station #ann7:  #southafrica ,,,,,,,,,,,,0
prosecuting authority opposes #gupta challenge to asset forfeiture:  #southafrica ,,,,,,,,,,,,0
social development depts working to help get children home:  #southafrica ,,,,,,,,,,,,0
western cape premier boasts of #landreform success:  #southafrica ,,,,,,,,,,,,0
#mdct leadership fight - khuphe to take on 'tsvangirai personal assistant':  #zimbabwe ,,,,,,,,,,,,0
foreign investors expected at harare #mining indaba:  #zimbabwe ,,,,,,,,,,,,0
fire razes major liberian shopping district  #liberia ,,,,,,,,,,,,0
"gupta-owned optimum coal blames eskom, transnet for cash crisis:  #southafrica ",,,,,,,,,,,,0
president  weah seeks paris aid to jumpstart liberian economy  #liberia ,,,,,,,,,,,,0
south africa: struggling gupta miners demand answers on future  #southafrica ,,,,,,,,,,,,0
ministry of health launches safe birth initiative in kigoma region:  #tanzania ,,,,,,,,,,,,0
president george weah seeks paris aid to jumpstart government:  #liberia ,,,,,,,,,,,,0
miguna will have to re-apply for citizenship - immigration boss:  #kenya ,,,,,,,,,,,,0
labour minister promises effective inspectors:  #liberia ,,,,,,,,,,,,0
"lacc welcomes court ruling against sen. teahjay, but...:  #liberia ",,,,,,,,,,,,0
"liberia has never been, and can never be a racist country:  #liberia ",,,,,,,,,,,,0
rep. gray calls for scrutiny of civil servants payroll amid sudden surge:  #liberia ,,,,,,,,,,,,0
"minister explains u.s.$3,8 million farm purchase:  #namibia ",,,,,,,,,,,,0
public works minister presents 150-day plan to vice president taylor:  #liberia ,,,,,,,,,,,,0
ethiopia's next prime minister:  #ethiopia ,,,,,,,,,,,,0
harare partners oxfam to refurbish matapi flats:  #zimbabwe ,,,,,,,,,,,,0
rwanda's national airline off to flying start in 2018  #kenya #rwanda ,,,,,,,,,,,,0
striking gupta mineworkers demand answers about their future:  #southafrica ,,,,,,,,,,,,0
authorities abuse children linked to al-shabaab - report:  #somalia ,,,,,,,,,,,,0
south africa: struggling gupta miners demand answers on future  #southafrica #guptas… ,,,,,,,,,,,,0
angolan president sends message to dr congo's kabila:  #congo #drcongo #kabila #angola ,,,,,,,,,,,,0
mystery over train engines remains:  #tanzania ,,,,,,,,,,,,0
"how does namibian army spend so big, yet so broke?  #namibia ",,,,,,,,,,,,0
water restrictions stay put for mozambique's capital  #mozambique ,,,,,,,,,,,,0
unicef joins malawi's cholera fight  #malawi ,,,,,,,,,,,,0
who will ethiopia's next prime minister?  #ethiopia #stateofemergency #primeminister ,,,,,,,,,,,,0
international index ranks nigeria high on corruption  #nigeria ,,,,,,,,,,,,0
zimbabwe: violence at tsvangirai's funeral condemned:  #morgantsvangirai #zimbabwe ,,,,,,,,,,,,0
namibia president takes on new finance minister's critics:  #zambia ,,,,,,,,,,,,0
namibian minister retires 14 days after appointment:  #namibia ,,,,,,,,,,,,0
"one of world's 6,000 languages disappears every two weeks - unesco:  #nigeria ",,,,,,,,,,,,0
deported miguna miguna to re-apply for kenyan citizenship  #kenya #migunadeported ,,,,,,,,,,,,0
@malawiunicef strengthens distribution of safe water in lilongwe:  #malawi ,,,,,,,,,,,,0
health ministry launches safe birth initiative in tanzania  #tanzania ,,,,,,,,,,,,0
mdm demands resignation of maputo mayor:  #mozambique ,,,,,,,,,,,,0
malawi journalists challenged to clear myths on cholera:  #malawi ,,,,,,,,,,,,0
govt warns civil servants against mugabe day absenteeism:  #zimbabwe ,,,,,,,,,,,,0
kenyan actress lupita to play trevor noah's mom in biopic  #kenya #bornacrime #trevornoah… ,,,,,,,,,,,,0
rt @allafricasport: desiree ellis named as head coach of banyana banyana:  #southafrica ,,,,,,,,,,,,0
kenyan photographer does concept art for marvel's black panther:  #kenya #blackpanther ,,,,,,,,,,,,0
african university produces bamboo bicycles:  #nigeria ,,,,,,,,,,,,0
detained somali children face abuse - report  #somalia #al-shabaab #humanrightswatch ,,,,,,,,,,,,0
govt improves in global corruption ranking:  #kenya ,,,,,,,,,,,,0
desiree ellis named as head coach of banyana banyana:  #southafrica #banyanabanyana… ,,,,,,,,,,,,0
deported miguna miguna to re-apply for kenyan citizenship  #kenya ,,,,,,,,,,,,0
sade adu sings in 'a wrinkle in time' after 8 years hiatus:  #nigeria #sade ,,,,,,,,,,,,0
is nigeria really one of the worst countries in which to be born?  #nigeria ,,,,,,,,,,,,0
govt improves in global corruption ranking:  #kenya ,,,,,,,,,,,,0
"back from the dead, akwa stuns hawks in banjul:  #nigeria ",,,,,,,,,,,,0
'black panther' - sign of a new inclusiveness... or one-off?:  #africa #blackpanther ,,,,,,,,,,,,0
kenyans show love to african mothers with this hilarious challenge:  #kenya… ,,,,,,,,,,,,0
hundreds bid akwilina farewell:  #tanzania ,,,,,,,,,,,,0
senate moves to reduce central bank governor's powers:  #nigeria ,,,,,,,,,,,,0
rwanda's national airline off to flying start in 2018  #kenya #rwanda #rwandair ,,,,,,,,,,,,0
low patronage hits dana air as  port harcourt airport reopens:  #nigeria ,,,,,,,,,,,,0
"monkeys 'eat' u.s.$194,000 belonging to northern senators:  #nigeria ",,,,,,,,,,,,0
nigerian schoolgirls rescued after boko haram attack  #nigeria ,,,,,,,,,,,,0
amnesty group accuses security forces of widespread abuses:  #nigeria ,,,,,,,,,,,,0
inside metrorail's cable theft and commuter crisis:  #southafrica #metrorail ,,,,,,,,,,,,0
govt seeks greater female political participation:  #cameroon #women #politics ,,,,,,,,,,,,0
boko haram victims totally dependent on external aid:  #nigeria #bokoharam ,,,,,,,,,,,,0
two french soldiers killed in mali:  #mali #frenchsoldier ,,,,,,,,,,,,0
activist urges shakeup of country's politics:  #mali #activist #democracy ,,,,,,,,,,,,0
refuse dumping still a huge headache for lagos  #nigeria #lagos ,,,,,,,,,,,,0
grieving asbel kiprop to miss trials:  #kenya ,,,,,,,,,,,,0
buhari to meet former nigerian leaders:  #nigeria ,,,,,,,,,,,,0
zimbabwe: chinamasa orders repossession of chipanga's farm:  #zimbabwe ,,,,,,,,,,,,0
luanda flood victims increase:  #angola ,,,,,,,,,,,,0
corruption monitor paints grim picture in africa for 2017:  #africa ,,,,,,,,,,,,0
