,text,label
207,private equity into subsaharan africa grows to 12 bln a year,1
799,mozambique expects more than 32 billion woh of investment in infrastructure in 2013,1
251,ugandas stock exchange to begin automated trading,1
1018,tanzanias economy booms  world bank forecasts 6 growth in 201112 and 7 growth in 201213,1
625,kenyan mobile money transfers skyrocket in spite of new tax,1
180,zimbabwe says foreigners can buy stakes of up to 49 in local stocks,1
1065,mtn will spend 1 billion on its south african 3g wireless network plans to double data revenue by 2015,1
298,announcing a new fund from africa capital group llc,1
1369,pigeon faster than internet in s africa the answers yes  by ,-1
1633,mauritius inflation slows for fifth straight month,1
83,soaring wages make kenya airways a sell,-1
593,barclays africa to spend 118 million on branch network in bid to win back retail customers,1
481,african fund giant seeks to launch fixed income fund in october,1
1095,ghana attracts 5523 million in foreign investment in 2nd quaer investment projects created 14412 jobs,1
371,fitness chain virgin active plans ipo on johannesburg stock exchange,1
1022,zimbabwe stock exchange mulls minimum capitalization requirement of 1 million if enacted five firms will be delisted,-1
36,kenyas foreign exchange reserves hit record high,1
1630,another oil find in uganda,1
473,africas best stock markets ytd malawi 164 rwanda 140 tanzania 114,1
1302,repo tanzania will post 5 gdp growth in 2009 and accelerate in 2010,1
595,africas bestperforming stock markets ytd malawi 710 ghana 493 kenya 383,1
1646,africas markets emerging from the storm,1
623,morgan stanley seeing big africa returns,1
1101,zambia records trade surplus for sixth consecutive month thanks to strong copper prices,1
90,merck opens regional hub in abidjan cote divoire,1
1643,south africa may cut interest rates for third time this year,1
1383,kenyans can now register to receive some stock dividends via their cellphones ht ,1
1565,nigerias mobile sector has five more years of growth,1
118,namibian stock exchange to selflist,1
677,sp revises senegals credit outlook to stable from negative,1
155,imf estimates botswanas economy to grow 37 in 2016,1
1128,south africas pick n pay says may cut over 3000 jobs  prompted by walmas entry into the market,-1
3,mtn ghana appoints sponsor for upcoming ipo will sell 35 stake for roughly 450 million on ghana stock exchange,1
1707,the kenya infrastructure bond,1
1427,nigerias central bank names and shames deadbeat debtors threatens legal action,1
1713,a review of ugandas bank stocks,1
539,africas best stock markets ytd rwanda 93 tanzania 44 ghana 43,1
